I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-7,-20,-13,13,3,-17,-20,-25,-27,-13,-21,-15
-9,-20,-11,14,1,-16,-20,-25,-27,-13,-21,-14
-9,-20,-11,14,1,-16,-21,-26,-27,-13,-21,-15
-10,-21,-11,15,0,-16,-22,-27,-29,-13,-22,-16
-10,-22,-12,16,1,-17,-21,-27,-30,-13,-22,-15
-10,-23,-13,16,1,-18,-21,-27,-30,-13,-22,-15
-8,-21,-13,14,2,-17,-20,-27,-30,-12,-22,-15
-5,-18,-13,11,4,-16,-19,-26,-30,-12,-21,-15
-6,-17,-11,11,2,-14,-19,-26,-29,-12,-20,-14
-8,-18,-10,13,1,-14,-20,-26,-29,-14,-21,-15
-7,-17,-10,12,1,-14,-21,-26,-29,-14,-21,-16
-7,-17,-10,12,1,-14,-21,-26,-29,-14,-22,-17
-8,-19,-11,13,1,-15,-21,-27,-30,-14,-22,-17
-7,-19,-12,13,2,-16,-22,-27,-30,-14,-22,-17
-6,-20,-14,13,4,-17,-21,-27,-29,-13,-22,-16
-6,-20,-14,13,4,-17,-21,-27,-29,-13,-22,-16
-7,-23,-16,15,4,-20,-22,-28,-29,-13,-22,-17
-10,-25,-15,17,2,-20,-23,-29,-30,-14,-23,-18
-10,-25,-15,17,2,-20,-22,-29,-29,-13,-22,-18
-9,-23,-14,16,2,-19,-22,-28,-29,-12,-22,-18
-8,-23,-15,15,3,-19,-22,-28,-30,-13,-22,-18
-8,-22,-14,15,3,-18,-22,-28,-31,-13,-22,-17
-7,-20,-13,13,3,-17,-20,-26,-30,-11,-21,-15
-2,-14,-12,8,5,-13,-18,-23,-27,-9,-19,-12
-3,-13,-10,8,3,-12,-18,-23,-25,-9,-18,-12
-7,-18,-11,12,2,-15,-19,-24,-26,-11,-19,-13
-6,-19,-13,12,3,-16,-20,-25,-25,-11,-19,-13
-4,-19,-15,11,5,-17,-20,-25,-25,-11,-19,-13
-5,-19,-14,12,4,-17,-21,-27,-26,-11,-19,-13
-5,-18,-13,11,4,-16,-21,-27,-26,-11,-19,-13
-6,-18,-12,12,3,-15,-20,-27,-27,-11,-19,-13
-7,-18,-11,12,2,-15,-21,-28,-28,-11,-20,-14
-11,-22,-11,16,0,-17,-21,-28,-29,-12,-21,-15
-12,-24,-12,18,0,-18,-22,-29,-30,-14,-22,-15
-9,-22,-13,15,2,-18,-20,-27,-28,-12,-20,-13
-9,-21,-12,15,1,-17,-20,-26,-28,-12,-20,-13
-7,-21,-14,14,3,-18,-21,-26,-27,-13,-21,-14
-2,-18,-16,10,7,-17,-20,-25,-26,-12,-20,-13
3,-15,-18,6,10,-16,-20,-25,-26,-11,-20,-14
5,-13,-18,4,11,-15,-20,-26,-26,-11,-20,-14
4,-12,-16,4,10,-14,-20,-26,-27,-11,-20,-13
-2,-15,-13,8,5,-14,-19,-26,-27,-11,-20,-15
-6,-16,-10,11,2,-13,-18,-26,-28,-11,-20,-15
-8,-16,-8,12,0,-12,-17,-25,-26,-9,-19,-13
