LabelType,Lead,StartX,StartY,EndX,EndY,Author,CreateDate
P0,II,27,0,87,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,494,0,554,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,945,0,1005,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,1417,0,1477,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,1895,0,1955,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,2358,0,2418,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,2828,0,2888,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,3297,0,3357,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,3759,0,3819,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,4212,0,4272,0,SYSTEM,2025-02-28 7:00:13 PM
P0,II,4680,0,4740,0,SYSTEM,2025-02-28 7:00:13 PM
