TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,1,1,-6,1,-7,1,2,1,4,1,-6,1,-11,1,-15,1,-11,1,-22,1,-13,1,-6,1
2,0,1,-6,1,-6,1,3,1,3,1,-6,1,-10,1,-14,1,-10,1,-22,1,-12,1,-5,1
3,-1,1,-6,1,-5,1,3,1,2,1,-6,1,-9,1,-13,1,-9,1,-20,1,-11,1,-4,1
4,-3,1,-5,1,-2,1,4,1,-1,1,-4,1,-8,1,-13,1,-8,1,-20,1,-11,1,-4,1
5,-5,1,-5,1,0,1,5,1,-3,1,-3,1,-7,1,-12,1,-7,1,-19,1,-10,1,-3,1
6,-7,1,-5,1,2,1,6,1,-5,1,-2,1,-6,1,-11,1,-5,1,-18,1,-9,1,-2,1
7,-11,1,-5,1,6,1,8,1,-9,1,0,1,-6,1,-10,1,-5,1,-17,1,-8,1,-1,1
8,-14,1,-5,1,9,1,9,1,-12,1,2,1,-5,1,-10,1,-4,1,-16,1,-7,1,0,1
9,-17,1,-5,1,12,1,11,1,-15,1,3,1,-4,1,-9,1,-4,1,-15,1,-6,1,0,1
10,-19,1,-5,1,14,1,12,1,-17,1,4,1,-3,1,-8,1,-3,1,-14,1,-5,1,1,1
11,-20,1,-5,1,15,1,12,1,-18,1,5,1,-2,1,-7,1,-2,1,-14,1,-3,1,2,1
12,-23,1,-6,1,17,1,14,1,-20,1,5,1,-2,1,-7,1,-2,1,-13,1,-2,1,1,1
13,-25,1,-6,1,19,1,15,1,-22,1,6,1,-1,1,-6,1,-1,1,-12,1,-2,1,2,1
14,-27,1,-7,1,20,1,17,1,-24,1,6,1,0,1,-5,1,-1,1,-11,1,-1,1,2,1
15,-28,1,-6,1,22,1,17,1,-25,1,8,1,0,1,-5,1,-1,1,-11,1,-1,1,3,1
16,-29,1,-6,1,23,1,17,1,-26,1,8,1,0,1,-4,1,0,1,-9,1,-1,1,4,1
17,-32,1,-5,1,27,1,18,1,-30,1,11,1,1,1,-3,1,1,1,-9,1,-1,1,4,1
18,-34,1,-5,1,29,1,19,1,-32,1,12,1,1,1,-3,1,2,1,-9,1,-1,1,5,1
19,-36,1,-6,1,30,1,21,1,-33,1,12,1,2,1,-3,1,2,1,-8,1,0,1,5,1
20,-38,1,-6,1,32,1,22,1,-35,1,13,1,3,1,-2,1,3,1,-7,1,0,1,7,1
21,-40,1,-6,1,34,1,23,1,-37,1,14,1,3,1,-3,1,4,1,-8,1,1,1,7,1
22,-41,1,-6,1,35,1,23,1,-38,1,14,1,4,1,-2,1,4,1,-7,1,2,1,9,1
23,-43,1,-6,1,37,1,24,1,-40,1,15,1,5,1,-1,1,4,1,-6,1,3,1,10,1
24,-45,1,-6,1,39,1,25,1,-42,1,16,1,6,1,0,1,5,1,-6,1,4,1,11,1
25,-49,1,-6,1,43,1,27,1,-46,1,18,1,8,1,1,1,6,1,-5,1,5,1,12,1
26,-53,1,-6,1,47,1,29,1,-50,1,20,1,9,1,3,1,7,1,-3,1,6,1,13,1
27,-57,1,-5,1,52,1,31,1,-55,1,23,1,10,1,4,1,7,1,-3,1,7,1,12,1
28,-59,1,-5,1,54,1,32,1,-57,1,24,1,10,1,4,1,8,1,-2,1,7,1,12,1
29,-60,1,-4,1,56,1,32,1,-58,1,26,1,10,1,4,1,8,1,-2,1,7,1,12,1
30,-59,1,-4,1,55,1,31,1,-57,1,25,1,11,1,5,1,9,1,-1,1,8,1,12,1
31,-59,1,-4,1,55,1,31,1,-57,1,25,1,12,1,5,1,10,1,0,1,9,1,13,1
32,-60,1,-4,1,56,1,32,1,-58,1,26,1,12,1,5,1,11,1,0,1,10,1,14,1
33,-61,1,-4,1,57,1,32,1,-59,1,26,1,14,1,7,1,13,1,2,1,11,1,16,1
34,-63,1,-2,1,61,1,32,1,-62,1,29,1,15,1,8,1,14,1,4,1,13,1,18,1
35,-64,1,-1,1,63,1,32,1,-64,1,31,1,17,1,9,1,16,1,5,1,14,1,19,1
36,-66,1,0,1,66,1,33,1,-66,1,33,1,18,1,10,1,16,1,6,1,15,1,20,1
37,-67,1,2,1,69,1,32,1,-68,1,35,1,19,1,11,1,17,1,6,1,16,1,20,1
38,-67,1,3,1,70,1,32,1,-68,1,36,1,20,1,12,1,18,1,7,1,17,1,21,1
39,-68,1,4,1,72,1,32,1,-70,1,38,1,21,1,13,1,19,1,9,1,18,1,22,1
40,-70,1,5,1,75,1,32,1,-72,1,40,1,22,1,14,1,19,1,9,1,19,1,23,1
41,-72,1,6,1,78,1,33,1,-75,1,42,1,23,1,15,1,19,1,10,1,20,1,24,1
42,-74,1,7,1,81,1,33,1,-77,1,44,1,24,1,16,1,21,1,12,1,21,1,26,1
43,-75,1,8,1,83,1,33,1,-79,1,45,1,24,1,16,1,21,1,13,1,21,1,27,1
44,-77,1,10,1,87,1,33,1,-82,1,48,1,24,1,16,1,22,1,14,1,21,1,28,1
45,-78,1,9,1,87,1,34,1,-82,1,48,1,25,1,18,1,23,1,14,1,22,1,28,1
46,-79,1,9,1,88,1,35,1,-83,1,48,1,26,1,19,1,24,1,16,1,23,1,29,1
47,-79,1,9,1,88,1,35,1,-83,1,48,1,27,1,19,1,25,1,16,1,24,1,29,1
48,-81,1,9,1,90,1,36,1,-85,1,49,1,27,1,19,1,26,1,16,1,25,1,30,1
49,-82,1,9,1,91,1,36,1,-86,1,50,1,27,1,20,1,27,1,17,1,25,1,30,1
50,-84,1,9,1,93,1,37,1,-88,1,51,1,27,1,22,1,27,1,19,1,26,1,31,1
51,-84,1,9,1,93,1,37,1,-88,1,51,1,28,1,22,1,28,1,20,1,28,1,32,1
52,-84,1,9,1,93,1,37,1,-88,1,51,1,28,1,23,1,28,1,19,1,28,1,33,1
53,-85,1,10,1,95,1,37,1,-90,1,52,1,29,1,24,1,29,1,20,1,29,1,34,1
54,-87,1,12,1,99,1,37,1,-93,1,55,1,30,1,25,1,30,1,21,1,30,1,36,1
55,-88,1,13,1,101,1,37,1,-94,1,57,1,30,1,25,1,30,1,21,1,31,1,36,1
56,-90,1,14,1,104,1,38,1,-97,1,59,1,29,1,24,1,31,1,22,1,33,1,37,1
57,-92,1,14,1,106,1,39,1,-99,1,60,1,27,1,23,1,31,1,23,1,33,1,37,1
58,-94,1,15,1,109,1,39,1,-101,1,62,1,26,1,23,1,31,1,23,1,33,1,37,1
59,-94,1,14,1,108,1,40,1,-101,1,61,1,24,1,22,1,31,1,23,1,33,1,37,1
60,-93,1,15,1,108,1,39,1,-100,1,61,1,24,1,22,1,31,1,23,1,33,1,38,1
61,-93,1,15,1,108,1,39,1,-100,1,61,1,23,1,22,1,31,1,22,1,34,1,39,1
62,-93,1,15,1,108,1,39,1,-100,1,61,1,22,1,21,1,31,1,22,1,34,1,40,1
63,-92,1,15,1,107,1,38,1,-99,1,61,1,21,1,21,1,31,1,22,1,34,1,41,1
64,-93,1,14,1,107,1,39,1,-100,1,60,1,21,1,21,1,31,1,22,1,34,1,41,1
65,-95,1,13,1,108,1,41,1,-101,1,60,1,20,1,21,1,31,1,22,1,35,1,42,1
66,-97,1,12,1,109,1,42,1,-103,1,60,1,20,1,20,1,30,1,22,1,35,1,42,1
67,-99,1,11,1,110,1,44,1,-104,1,60,1,20,1,20,1,30,1,22,1,35,1,41,1
68,-100,1,10,1,110,1,45,1,-105,1,60,1,20,1,20,1,30,1,21,1,35,1,41,1
69,-100,1,9,1,109,1,45,1,-104,1,59,1,21,1,19,1,30,1,20,1,36,1,41,1
70,-100,1,8,1,108,1,46,1,-104,1,58,1,21,1,19,1,29,1,20,1,35,1,41,1
71,-101,1,7,1,108,1,47,1,-104,1,57,1,21,1,19,1,29,1,20,1,34,1,41,1
72,-103,1,5,1,108,1,49,1,-105,1,56,1,22,1,19,1,29,1,20,1,35,1,42,1
73,-106,1,4,1,110,1,51,1,-108,1,57,1,22,1,18,1,28,1,20,1,34,1,42,1
74,-109,1,2,1,111,1,53,1,-110,1,56,1,22,1,18,1,28,1,19,1,34,1,42,1
75,-112,1,0,1,112,1,56,1,-112,1,56,1,23,1,19,1,28,1,20,1,34,1,42,1
76,-115,1,-1,1,114,1,58,1,-115,1,56,1,24,1,20,1,30,1,20,1,36,1,43,1
77,-118,1,-1,1,117,1,59,1,-118,1,58,1,26,1,21,1,31,1,21,1,36,1,42,1
78,-120,1,-1,1,119,1,60,1,-120,1,59,1,28,1,22,1,32,1,22,1,36,1,42,1
79,-123,1,-2,1,121,1,62,1,-122,1,59,1,29,1,22,1,32,1,22,1,36,1,42,1
80,-124,1,-3,1,121,1,63,1,-123,1,59,1,29,1,22,1,31,1,23,1,36,1,42,1
81,-125,1,-4,1,121,1,64,1,-123,1,58,1,30,1,22,1,31,1,22,1,35,1,40,1
82,-126,1,-5,1,121,1,65,1,-124,1,58,1,31,1,22,1,30,1,21,1,34,1,39,1
83,-128,1,-6,1,122,1,67,1,-125,1,58,1,31,1,22,1,29,1,21,1,32,1,38,1
84,-129,1,-7,1,122,1,68,1,-126,1,57,1,31,1,21,1,28,1,20,1,31,1,37,1
85,-130,1,-9,1,121,1,69,1,-126,1,56,1,31,1,21,1,28,1,19,1,30,1,37,1
86,-129,1,-9,1,120,1,69,1,-125,1,55,1,30,1,21,1,28,1,19,1,30,1,37,1
87,-130,1,-10,1,120,1,70,1,-125,1,55,1,29,1,20,1,28,1,17,1,30,1,36,1
88,-131,1,-11,1,120,1,71,1,-126,1,54,1,29,1,20,1,27,1,16,1,29,1,36,1
89,-132,1,-11,1,121,1,71,1,-127,1,55,1,29,1,20,1,27,1,16,1,30,1,36,1
90,-132,1,-11,1,121,1,71,1,-127,1,55,1,29,1,20,1,26,1,16,1,30,1,36,1
91,-134,1,-12,1,122,1,73,1,-128,1,55,1,30,1,20,1,26,1,16,1,30,1,36,1
