TS,Reading
1,-1.8
2,-1.2
3,-1
4,-1
5,-1.3
6,-1
7,-1
8,-1.1
9,-0.9
10,-1.1
11,-1.5
12,-1.8
13,-1.7
14,-1
15,-0.8
16,-1.1
17,-1.5
18,-1.8
19,-1.4
20,-1
21,-1.2
22,-1.3
23,-1.5
24,-1.8
25,-1.6
26,-1.5
27,-1.2
28,-0.7
29,-0.4
30,-0.7
31,-0.8
32,-1.2
33,-1.7
34,-1.5
35,-1.2
36,-0.8
37,-1.1
38,-1.3
39,-1.2
40,-1.6
41,-2.1
42,-2.2
43,-2.4
44,-1.8
45,-1.7
46,-1.9
47,-1.6
48,-0.9
49,-0.7
50,-0.9
51,-1.2
52,-1.3
53,-0.9
54,-1.3
55,-1.5
56,-1.4
57,-1.5
58,-1
59,-0.5
60,-0.7
61,-0.6
62,-0.2
63,-0.2
64,-0.6
65,-0.5
66,-0.6
67,-0.3
68,0.2
69,0.4
70,0.4
71,-0.1
72,-0.4
73,0
74,0
75,-0.3
76,-0.6
77,-0.3
78,-0.1
79,-0.1
80,-0.4
81,-0.6
82,-0.9
83,-1.5
84,-1.2
85,-1.1
86,-1
87,-0.9
88,-0.9
89,-1.3
90,-1.5
91,-1.5
92,-1.5
93,-1.4
94,-1.8
95,-2.1
96,-1.9
97,-1.9
98,-1.7
99,-1.8
100,-2.2
101,-1.8
102,-1.7
103,-1.8
104,-1.9
105,-1.9
106,-1.9
107,-2
108,-1.8
109,-1.7
110,-1.6
111,-1.5
112,-1.7
113,-2
114,-1.7
115,-1.6
116,-1.7
117,-1.9
118,-2.6
119,-3.4
120,-3.7
121,-3.6
122,-3.5
123,-3.4
124,-2.6
125,-1.3
126,0.5
127,1
128,2.1
129,4.3
130,6.3
131,9
132,11.3
133,13
134,14.5
135,16.1
136,17
137,17.1
138,17
139,16.7
140,15.3
141,13.3
142,11.9
143,10.9
144,10
145,9.1
146,8
147,6.9
148,6.2
149,5.4
150,4.3
151,2.7
152,1.6
153,1.2
154,0.7
155,-0.1
156,-0.3
157,-0.4
158,-0.7
159,-0.9
160,-0.8
161,-0.8
162,-1.3
163,-1.7
164,-1.5
165,-1
166,-1.4
167,-1.6
168,-1.5
169,-1.3
170,-1.5
171,-1.6
172,-2
173,-2.5
174,-2.3
175,-1.8
176,-1.3
177,-1.6
178,-1.9
179,-2.4
180,-2.3
181,-1.9
182,-1.9
183,-2.1
184,-1.7
185,-1.6
186,-2
187,-2.2
188,-1.9
189,-1.7
190,-1.6
191,-1.5
192,-1.2
193,-1.1
194,-1.2
195,-1.3
196,-1.8
197,-2.1
198,-1.9
199,-1.7
200,-1.7
201,-1.9
202,-2.1
203,-2.2
204,-1.8
205,-1.5
206,-1.5
207,-1.4
208,-1.1
209,-1.4
210,-1.8
211,-1.7
212,-1.4
213,-1.3
214,-1.8
215,-1.5
216,-0.9
217,-1
218,-0.9
219,-0.9
220,-0.9
221,-1.1
222,-1.3
223,-1.3
224,-1.2
225,-1.1
226,-0.9
227,-1
228,-0.6
229,-0.4
230,-0.3
231,-0.4
232,-0.4
233,-0.4
234,-0.7
235,-1
236,-0.3
237,0.3
238,0.1
239,-0.4
240,-0.6
241,-0.2
242,0
243,0.4
244,0.7
245,0.4
246,0.3
247,0.3
248,0.9
249,1.6
250,1.8
251,2
252,1.7
253,1.8
254,1.9
255,2
256,2.1
257,2.4
258,2.2
259,2
260,2
261,1.8
262,1.8
263,2.5
264,2.5
265,2.4
266,2.8
267,3
268,3
269,3
270,2.9
271,2.8
272,2.6
273,3
274,3.1
275,3.4
276,3.4
277,3.6
278,3.5
279,3.3
280,3.5
281,3.7
282,3.6
283,3.4
284,3.4
285,3.4
286,3.2
287,2.5
288,2.4
289,2.5
290,2.4
291,2.1
292,1.9
293,1.9
294,1.9
295,2.2
296,2.2
297,1.6
298,1
299,0.8
300,1.1
301,1.2
302,1.1
303,1.1
304,1
305,0.7
306,0.2
307,0.2
308,0
309,-0.1
310,0
311,0.2
312,0
313,-0.4
314,-0.5
315,-0.8
316,-0.7
317,-0.4
318,-0.6
319,-1
320,-1.1
321,-0.9
322,-1
323,-0.9
324,-0.9
325,-0.5
326,0.4
327,0.7
328,0
329,-1
330,-0.8
331,-0.8
332,-0.8
333,-0.9
334,-1
335,-1
336,-0.5
337,-0.3
338,-0.4
339,-0.2
340,0
341,0
342,-0.4
343,-0.5
344,-0.8
345,-0.7
346,-0.6
347,-0.5
348,-0.8
349,-1.1
350,-1
351,-1
352,-0.9
353,-0.7
354,-0.4
355,-0.3
356,-0.4
357,-0.2
358,-0.1
359,-0.5
360,-0.7
361,-0.8
362,-1.4
363,-1.2
364,-1.3
365,-1.2
366,-1.2
367,-0.9
368,-0.5
369,-0.5
370,-0.6
371,-0.8
372,-0.7
373,-0.6
374,-0.8
375,-0.9
376,-1.1
377,-0.9
378,-0.4
379,-0.4
380,-0.4
381,-0.2
382,0
383,-0.3
384,-0.5
385,-0.7
386,-0.5
387,-0.5
388,-0.6
389,-0.7
390,-0.3
391,-0.2
392,-0.3
393,-0.5
394,-0.2
395,0
396,-0.4
397,-1
398,-1.1
399,-1
400,-0.7
401,-0.7
402,-1
403,-1.1
404,-1.4
405,-1.1
406,-0.4
407,-0.5
408,-1
409,-0.9
410,-0.8
411,-1
412,-1.1
413,-1.2
414,-1.2
415,-1.4
416,-1.8
417,-1.1
418,-0.9
