TS,Reading
1,-2.2
2,-1.8
3,-1.6
4,-1.5
5,-1.8
6,-1.6
7,-1.6
8,-1.6
9,-1.6
10,-1.9
11,-2.1
12,-2.5
13,-2.3
14,-1.8
15,-1.5
16,-1.6
17,-1.9
18,-2
19,-1.9
20,-1.6
21,-1.8
22,-1.8
23,-1.7
24,-2.1
25,-2
26,-2
27,-1.8
28,-1.4
29,-1.3
30,-1.4
31,-1.5
32,-1.9
33,-2.2
34,-1.9
35,-1.4
36,-1.4
37,-1.8
38,-1.9
39,-1.9
40,-2.1
41,-2.8
42,-3
43,-3.2
44,-2.6
45,-2.4
46,-2.2
47,-1.6
48,-1.1
49,-0.9
50,-0.9
51,-1.3
52,-1.2
53,-1.1
54,-1.5
55,-1.8
56,-1.6
57,-1.6
58,-1.2
59,-0.7
60,-0.7
61,-0.5
62,-0.1
63,0.2
64,-0.3
65,-0.4
66,-0.3
67,-0.1
68,0.3
69,0.4
70,0.5
71,0.1
72,-0.3
73,-0.2
74,-0.2
75,-0.6
76,-1.1
77,-0.8
78,-0.6
79,-0.7
80,-0.9
81,-1
82,-1.3
83,-1.5
84,-1.6
85,-1.7
86,-1.3
87,-1.4
88,-1.4
89,-1.4
90,-1.6
91,-1.7
92,-1.8
93,-1.6
94,-2.1
95,-2.2
96,-1.8
97,-1.9
98,-1.9
99,-2.1
100,-2.4
101,-2.5
102,-2.2
103,-2.5
104,-2.6
105,-2.5
106,-2.5
107,-2.6
108,-2.2
109,-2
110,-1.9
111,-2.1
112,-2.4
113,-2.5
114,-2.3
115,-2.1
116,-2
117,-2.2
118,-2.1
119,-2.3
120,-2.1
121,-1.4
122,-0.8
123,-0.6
124,-0.4
125,0.1
126,0.9
127,0.5
128,0.4
129,1.6
130,2.5
131,4.3
132,6.7
133,8.4
134,9.9
135,11.2
136,11.6
137,11.8
138,11.9
139,10.9
140,8.1
141,5.7
142,3.8
143,2.5
144,1.7
145,0
146,-1.9
147,-2.7
148,-2.7
149,-2.2
150,-1.8
151,-1.3
152,-1.1
153,-1
154,-1.4
155,-2.1
156,-1.9
157,-2.2
158,-2.2
159,-2
160,-2
161,-1.7
162,-1.9
163,-2.1
164,-2.3
165,-1.8
166,-2
167,-2.3
168,-2.2
169,-1.8
170,-1.8
171,-2.1
172,-2.6
173,-3
174,-2.8
175,-2.3
176,-1.7
177,-2.1
178,-2.4
179,-2.5
180,-2.5
181,-2.5
182,-2.4
183,-2.3
184,-2.3
185,-2.3
186,-2.5
187,-2.7
188,-2.3
189,-2.3
190,-2.2
191,-1.9
192,-1.7
193,-1.7
194,-1.6
195,-1.9
196,-2.1
197,-2.5
198,-2.2
199,-2
200,-2.2
201,-1.8
202,-2.3
203,-2.4
204,-2.1
205,-1.9
206,-2.1
207,-1.8
208,-1.5
209,-1.5
210,-1.6
211,-1.6
212,-1.6
213,-1.7
214,-2.2
215,-2.1
216,-1.5
217,-1.3
218,-1.4
219,-1.4
220,-1.3
221,-1.2
222,-1.1
223,-1.5
224,-1.7
225,-1.4
226,-1.3
227,-1.7
228,-1.3
229,-1
230,-0.7
231,-0.7
232,-0.9
233,-0.9
234,-1.1
235,-1.4
236,-0.8
237,-0.3
238,-0.6
239,-1.1
240,-1.1
241,-0.8
242,-0.8
243,-0.6
244,-0.4
245,-0.2
246,-0.2
247,-0.3
248,0
249,0.9
250,1.2
251,1.3
252,0.6
253,0.6
254,0.9
255,1.1
256,1.2
257,1.1
258,1.1
259,0.9
260,0.7
261,0.7
262,1
263,1.5
264,1.4
265,1
266,1.6
267,1.8
268,1.8
269,1.7
270,1.6
271,1.7
272,1.6
273,1.6
274,1.6
275,1.7
276,1.6
277,1.8
278,1.5
279,1.4
280,1.6
281,2
282,2.1
283,1.7
284,1.4
285,1.5
286,1.4
287,0.7
288,0.6
289,0.9
290,1.2
291,1.3
292,1.1
293,0.9
294,0.8
295,0.7
296,0.7
297,0.5
298,0.1
299,0
300,0.3
301,0.6
302,0.3
303,0.4
304,0.6
305,0.2
306,-0.5
307,-0.4
308,-0.2
309,-0.4
310,-0.1
311,0
312,-0.4
313,-0.8
314,-1
315,-1.3
316,-1.1
317,-0.7
318,-1.1
319,-1.6
320,-1.7
321,-1.3
322,-1.6
323,-1.6
324,-1.6
325,-1.1
326,0
327,0
328,-0.6
329,-1.3
330,-1.5
331,-1.6
332,-1.5
333,-1.4
334,-1.4
335,-1.4
336,-1.1
337,-1
338,-1.1
339,-0.9
340,-0.9
341,-1
342,-1.2
343,-1.3
344,-1.4
345,-1.5
346,-1.6
347,-1.2
348,-1.3
349,-1.6
350,-1.5
351,-1.6
352,-1.6
353,-1.5
354,-1.1
355,-1
356,-1
357,-1
358,-0.7
359,-1
360,-1.3
361,-1.5
362,-1.7
363,-1.6
364,-1.7
365,-1.6
366,-1.5
367,-1.3
368,-1
369,-1.3
370,-1.4
371,-1.4
372,-1.1
373,-1
374,-1.4
375,-1.9
376,-1.7
377,-1.4
378,-1.1
379,-1
380,-0.7
381,-0.8
382,-0.9
383,-0.9
384,-0.8
