TS,Reading
1,-0.4
2,-0.6
3,-0.6
4,-0.5
5,-0.5
6,-0.6
7,-0.6
8,-0.5
9,-0.7
10,-0.8
11,-0.6
12,-0.7
13,-0.6
14,-0.8
15,-0.7
16,-0.5
17,-0.4
18,-0.2
19,-0.5
20,-0.6
21,-0.6
22,-0.5
23,-0.2
24,-0.3
25,-0.4
26,-0.5
27,-0.6
28,-0.7
29,-0.9
30,-0.7
31,-0.7
32,-0.7
33,-0.5
34,-0.4
35,-0.2
36,-0.6
37,-0.7
38,-0.6
39,-0.7
40,-0.5
41,-0.7
42,-0.8
43,-0.8
44,-0.8
45,-0.7
46,-0.3
47,0
48,-0.2
49,-0.2
50,0
51,-0.1
52,0.1
53,-0.2
54,-0.2
55,-0.3
56,-0.2
57,-0.1
58,-0.2
59,-0.2
60,0
61,0.1
62,0.1
63,0.4
64,0.3
65,0.1
66,0.3
67,0.2
68,0.1
69,0
70,0.1
71,0.2
72,0.1
73,-0.2
74,-0.2
75,-0.3
76,-0.5
77,-0.5
78,-0.5
79,-0.6
80,-0.5
81,-0.4
82,-0.4
83,0
84,-0.4
85,-0.6
86,-0.3
87,-0.5
88,-0.5
89,-0.1
90,-0.1
91,-0.2
92,-0.3
93,-0.2
94,-0.3
95,-0.1
96,0.1
97,0
98,-0.2
99,-0.3
100,-0.2
101,-0.7
102,-0.5
103,-0.7
104,-0.7
105,-0.6
106,-0.6
107,-0.6
108,-0.4
109,-0.3
110,-0.3
111,-0.6
112,-0.7
113,-0.5
114,-0.6
115,-0.5
116,-0.3
117,-0.3
118,0.5
119,1.1
120,1.6
121,2.2
122,2.7
123,2.8
124,2.2
125,1.4
126,0.4
127,-0.5
128,-1.7
129,-2.7
130,-3.8
131,-4.7
132,-4.6
133,-4.6
134,-4.6
135,-4.9
136,-5.4
137,-5.3
138,-5.1
139,-5.8
140,-7.2
141,-7.6
142,-8.1
143,-8.4
144,-8.3
145,-9.1
146,-9.9
147,-9.6
148,-8.9
149,-7.6
150,-6.1
151,-4
152,-2.7
153,-2.2
154,-2.1
155,-2
156,-1.6
157,-1.8
158,-1.5
159,-1.1
160,-1.2
161,-0.9
162,-0.6
163,-0.4
164,-0.8
165,-0.8
166,-0.6
167,-0.7
168,-0.7
169,-0.5
170,-0.3
171,-0.5
172,-0.6
173,-0.5
174,-0.5
175,-0.5
176,-0.4
177,-0.5
178,-0.5
179,-0.1
180,-0.2
181,-0.6
182,-0.5
183,-0.2
184,-0.6
185,-0.7
186,-0.5
187,-0.5
188,-0.4
189,-0.6
190,-0.6
191,-0.4
192,-0.5
193,-0.6
194,-0.4
195,-0.6
196,-0.3
197,-0.4
198,-0.3
199,-0.3
200,-0.5
201,0.1
202,-0.2
203,-0.2
204,-0.3
205,-0.4
206,-0.6
207,-0.4
208,-0.4
209,-0.1
210,0.2
211,0.1
212,-0.2
213,-0.4
214,-0.4
215,-0.6
216,-0.6
217,-0.3
218,-0.5
219,-0.5
220,-0.4
221,-0.1
222,0.2
223,-0.2
224,-0.5
225,-0.3
226,-0.4
227,-0.7
228,-0.7
229,-0.6
230,-0.4
231,-0.3
232,-0.5
233,-0.5
234,-0.4
235,-0.4
236,-0.5
237,-0.6
238,-0.7
239,-0.7
240,-0.5
241,-0.6
242,-0.8
243,-1
244,-1.1
245,-0.6
246,-0.5
247,-0.6
248,-0.9
249,-0.7
250,-0.6
251,-0.7
252,-1.1
253,-1.2
254,-1
255,-0.9
256,-0.9
257,-1.3
258,-1.1
259,-1.1
260,-1.3
261,-1.1
262,-0.8
263,-1
264,-1.1
265,-1.4
266,-1.2
267,-1.2
268,-1.2
269,-1.3
270,-1.3
271,-1.1
272,-1
273,-1.4
274,-1.5
275,-1.7
276,-1.8
277,-1.8
278,-2
279,-1.9
280,-1.9
281,-1.7
282,-1.5
283,-1.7
284,-2
285,-1.9
286,-1.8
287,-1.8
288,-1.8
289,-1.6
290,-1.2
291,-0.8
292,-0.8
293,-1
294,-1.1
295,-1.5
296,-1.5
297,-1.1
298,-0.9
299,-0.8
300,-0.8
301,-0.6
302,-0.8
303,-0.7
304,-0.4
305,-0.5
306,-0.7
307,-0.6
308,-0.2
309,-0.3
310,-0.1
311,-0.2
312,-0.4
313,-0.4
314,-0.5
315,-0.5
316,-0.4
317,-0.3
318,-0.5
319,-0.6
320,-0.6
321,-0.4
322,-0.6
323,-0.7
324,-0.7
325,-0.6
326,-0.4
327,-0.7
328,-0.6
329,-0.3
330,-0.7
331,-0.8
332,-0.7
333,-0.5
334,-0.4
335,-0.4
336,-0.6
337,-0.7
338,-0.7
339,-0.7
340,-0.9
341,-1
342,-0.8
343,-0.8
344,-0.6
345,-0.8
346,-1
347,-0.7
348,-0.5
349,-0.5
350,-0.5
351,-0.6
352,-0.7
353,-0.8
354,-0.7
355,-0.7
356,-0.6
357,-0.8
358,-0.6
359,-0.5
360,-0.6
361,-0.7
362,-0.3
363,-0.4
364,-0.4
365,-0.4
366,-0.3
367,-0.4
368,-0.5
369,-0.8
370,-0.8
371,-0.6
372,-0.4
373,-0.4
374,-0.6
375,-1
376,-0.6
377,-0.5
378,-0.7
379,-0.6
380,-0.3
381,-0.6
382,-0.9
383,-0.6
384,-0.3
385,-0.1
386,-0.4
387,-0.5
388,-0.4
389,-0.4
390,-0.6
391,-0.6
392,-0.5
393,-0.3
394,-0.5
395,-0.5
396,-0.4
397,-0.1
398,-0.1
399,-0.1
400,0
401,-0.1
402,-0.2
403,-0.2
404,-0.2
405,-0.4
406,-0.5
407,-0.4
408,-0.2
409,-0.2
410,-0.2
411,-0.1
412,-0.1
413,-0.1
414,-0.3
415,-0.4
416,-0.1
417,-0.5
418,-0.4
