TS,Reading,Flag,TS2,Reading2,Flag2
1,-13,5,2000,-8,5
2,-11,5,2001,-8,5
3,-11,5,2002,-7,5
4,-11,5,2003,-8,5
5,-12,5,2004,-7,5
6,-13,5,2005,-7,5
7,-13,5,2006,-6,5
8,-13,5,2007,-6,5
9,-11,5,2008,-7,5
10,-10,5,2009,-9,5
11,-10,5,2010,-8,5
12,-10,5,2011,-7,5
13,-11,5,2012,-8,5
14,-12,5,2013,-8,5
15,-14,5,2014,-8,5
16,-14,5,2015,-8,5
17,-15,5,2016,-7,5
18,-15,5,2017,-7,5
19,-15,5,2018,-7,5
20,-14,5,2019,-8,5
21,-15,5,2020,-8,5
22,-14,5,2021,-8,5
23,-13,5,2022,-9,5
24,-12,5,2023,-10,5
25,-10,5,2024,-9,5
26,-11,5,2025,-8,5
27,-13,5,2026,-8,5
28,-15,5,2027,-6,5
29,-14,5,2028,-6,5
30,-13,5,2029,-5,5
31,-12,5,2030,-6,5
32,-11,5,2031,-8,5
33,-11,5,2032,-10,5
34,-12,5,2033,-12,5
35,-13,5,2034,-12,5
36,-12,5,2035,-13,5
37,-14,5,2036,-11,5
38,-15,5,2037,-9,5
39,-15,5,2038,-7,5
40,-15,5,2039,-6,5
41,-15,5,2040,-5,5
42,-13,5,2041,-7,5
43,-10,5,2042,-8,5
44,-8,5,2043,-9,5
45,-8,5,2044,-10,5
46,-9,5,2045,-11,5
47,-14,5,2046,-10,5
48,-15,5,2047,-10,5
49,-15,5,2048,-10,5
50,-15,5,2049,-10,5
51,-12,5,2050,-9,5
52,-8,5,2051,-7,5
53,-7,5,2052,-7,5
54,-9,5,2053,-10,5
55,-9,5,2054,-12,5
56,-9,5,2055,-13,5
57,-11,5,2056,-14,5
58,-14,5,2057,-12,5
59,-14,5,2058,-10,5
60,-14,5,2059,-9,5
61,-13,5,2060,-7,5
62,-12,5,2061,-7,5
63,-11,5,2062,-8,5
64,-9,5,2063,-9,5
65,-8,5,2064,-9,5
66,-7,5,2065,-10,5
67,-6,5,2066,-8,5
68,-3,5,2067,-8,5
69,-1,5,2068,-8,5
70,-1,5,2069,-7,5
71,-3,5,2070,-6,5
72,-3,5,2071,-7,5
73,-2,5,2072,-8,5
74,-1,5,2073,-8,5
75,0,5,2074,-10,5
76,2,5,2075,-10,5
77,3,5,2076,-10,5
78,5,5,2077,-9,5
79,6,5,2078,-8,5
80,8,5,2079,-9,5
81,8,5,2080,-8,5
82,7,5,2081,-9,5
83,7,5,2082,-9,5
84,7,5,2083,-8,5
85,7,5,2084,-7,5
86,7,5,2085,-7,5
87,8,5,2086,-8,5
88,10,5,2087,-7,5
89,13,5,2088,-8,5
90,13,5,2089,-8,5
91,11,5,2090,-10,5
92,8,5,2091,-9,5
93,2,5,2092,-10,5
94,0,5,2093,-9,5
95,2,5,2094,-7,5
96,1,5,2095,-6,5
97,-2,5,2096,-3,5
98,-5,5,2097,-1,5
99,-6,5,2098,0,5
100,-6,5,2099,1,5
101,-7,5,2100,1,5
102,-10,5,2101,2,5
103,-9,5,2102,2,5
104,-10,5,2103,2,5
105,-9,5,2104,2,5
106,-10,5,2105,3,5
107,-11,5,2106,5,5
108,-12,5,2107,7,5
109,-14,5,2108,9,5
110,-14,5,2109,10,5
111,-15,5,2110,11,5
112,-15,5,2111,11,5
113,-15,5,2112,11,5
114,-15,5,2113,12,5
115,-15,5,2114,11,5
116,-15,5,2115,13,5
117,-15,5,2116,14,5
118,-15,5,2117,13,5
119,-15,5,2118,13,5
120,-15,5,2119,13,5
121,-15,5,2120,12,5
122,-15,5,2121,9,5
123,-15,5,2122,7,5
124,-15,5,2123,7,5
125,-15,5,2124,6,5
126,-15,5,2125,5,5
127,-15,5,2126,3,5
128,-15,5,2127,0,5
129,-15,5,2128,-3,5
130,-15,5,2129,-7,5
131,-15,5,2130,-8,5
132,-15,5,2131,-7,5
133,-15,5,2132,-6,5
134,-15,5,2133,-5,5
135,-15,5,2134,-4,5
136,-15,5,2135,-4,5
137,-15,5,2136,-5,5
138,-15,5,2137,-7,5
139,-15,5,2138,-8,5
140,-15,5,2139,-12,5
141,-15,5,2140,-13,5
142,-15,5,2141,-15,5
143,-15,5,2142,-14,5
144,-10,5,2143,-15,5
145,-5,5,2144,-15,5
146,4,5,2145,-15,5
147,20,5,2146,-15,5
148,36,5,2147,-15,5
149,54,5,2148,-15,5
150,54,5,2149,-15,5
151,54,5,2150,-15,5
152,54,5,2151,-15,5
153,54,5,2152,-14,5
154,54,5,2153,-13,5
155,54,5,2154,-13,5
156,54,5,2155,-15,5
157,54,5,2156,-15,5
158,54,5,2157,-15,5
159,49,5,2158,-15,5
160,20,5,2159,-15,5
161,-2,5,2160,-15,5
162,-15,5,2161,-15,5
163,-15,5,2162,-14,5
164,-15,5,2163,-14,5
165,-15,5,2164,-15,5
166,-15,5,2165,-14,5
167,-15,5,2166,-14,5
168,-15,5,2167,-13,5
169,-15,5,2168,-12,5
170,-15,5,2169,-13,5
171,-15,5,2170,-13,5
172,-15,5,2171,-12,5
173,-15,5,2172,-13,5
174,-15,5,2173,-14,5
175,-15,5,2174,-12,5
176,-15,5,2175,-6,5
177,-15,5,2176,1,5
178,-14,5,2177,9,5
179,-13,5,2178,20,5
180,-12,5,2179,33,5
181,-12,5,2180,51,5
182,-12,5,2181,54,5
183,-13,5,2182,54,5
184,-13,5,2183,54,5
185,-14,5,2184,54,5
186,-15,5,2185,54,5
187,-15,5,2186,54,5
188,-15,5,2187,54,5
189,-15,5,2188,54,5
190,-15,5,2189,54,5
191,-13,5,2190,52,5
192,-12,5,2191,31,5
193,-12,5,2192,10,5
194,-11,5,2193,-7,5
195,-10,5,2194,-14,5
196,-11,5,2195,-15,5
197,-10,5,2196,-15,5
198,-13,5,2197,-15,5
199,-12,5,2198,-15,5
200,-13,5,2199,-15,5
201,-11,5,2200,-15,5
202,-11,5,2201,-15,5
203,-11,5,2202,-13,5
204,-11,5,2203,-11,5
205,-11,5,2204,-10,5
206,-11,5,2205,-8,5
207,-11,5,2206,-7,5
208,-10,5,2207,-7,5
209,-11,5,2208,-6,5
210,-10,5,2209,-8,5
211,-10,5,2210,-7,5
212,-11,5,2211,-6,5
213,-10,5,2212,-6,5
214,-10,5,2213,-7,5
215,-9,5,2214,-8,5
216,-8,5,2215,-9,5
217,-8,5,2216,-8,5
218,-7,5,2217,-7,5
219,-7,5,2218,-7,5
220,-7,5,2219,-6,5
221,-7,5,2220,-7,5
222,-8,5,2221,-7,5
223,-8,5,2222,-7,5
224,-8,5,2223,-7,5
225,-7,5,2224,-7,5
226,-7,5,2225,-6,5
227,-7,5,2226,-3,5
228,-8,5,2227,-3,5
229,-9,5,2228,-4,5
230,-10,5,2229,-4,5
231,-10,5,2230,-5,5
232,-9,5,2231,-5,5
233,-10,5,2232,-5,5
234,-10,5,2233,-6,5
235,-9,5,2234,-4,5
236,-8,5,2235,-3,5
237,-6,5,2236,-3,5
238,-7,5,2237,-3,5
239,-10,5,2238,-1,5
240,-10,5,2239,-3,5
241,-8,5,2240,-3,5
242,-6,5,2241,-2,5
243,-6,5,2242,-2,5
244,-6,5,2243,-4,5
245,-6,5,2244,-4,5
246,-6,5,2245,-3,5
247,-6,5,2246,0,5
248,-6,5,2247,1,5
249,-5,5,2248,-1,5
250,-5,5,2249,-2,5
251,-6,5,2250,-3,5
252,-6,5,2251,-5,5
253,-5,5,2252,-5,5
254,-4,5,2253,-5,5
255,-3,5,2254,-5,5
256,-4,5,2255,-4,5
257,-4,5,2256,-1,5
258,-4,5,2257,0,5
259,-4,5,2258,-1,5
260,-4,5,2259,-2,5
261,-4,5,2260,-3,5
262,-3,5,2261,-5,5
263,-2,5,2262,-5,5
264,0,5,2263,-5,5
265,-1,5,2264,-3,5
266,0,5,2265,-2,5
267,0,5,2266,-3,5
268,0,5,2267,-2,5
269,-1,5,2268,-2,5
270,-1,5,2269,-2,5
271,0,5,2270,-2,5
272,0,5,2271,-1,5
273,1,5,2272,0,5
274,2,5,2273,0,5
275,3,5,2274,1,5
276,4,5,2275,1,5
277,4,5,2276,0,5
278,5,5,2277,-2,5
279,5,5,2278,-1,5
280,6,5,2279,0,5
281,7,5,2280,0,5
282,7,5,2281,0,5
283,7,5,2282,0,5
284,7,5,2283,0,5
285,7,5,2284,0,5
286,8,5,2285,-1,5
287,7,5,2286,0,5
288,6,5,2287,2,5
289,8,5,2288,2,5
290,7,5,2289,3,5
291,7,5,2290,4,5
292,6,5,2291,6,5
293,6,5,2292,7,5
294,7,5,2293,7,5
295,11,5,2294,7,5
296,11,5,2295,4,5
297,11,5,2296,2,5
298,11,5,2297,1,5
299,11,5,2298,2,5
300,11,5,2299,2,5
301,12,5,2300,3,5
302,11,5,2301,5,5
303,11,5,2302,6,5
304,11,5,2303,9,5
305,12,5,2304,9,5
306,13,5,2305,7,5
307,14,5,2306,7,5
308,15,5,2307,8,5
309,13,5,2308,9,5
310,12,5,2309,10,5
311,11,5,2310,11,5
312,10,5,2311,11,5
313,8,5,2312,11,5
314,8,5,2313,11,5
315,8,5,2314,10,5
316,8,5,2315,11,5
317,9,5,2316,11,5
318,8,5,2317,12,5
319,6,5,2318,12,5
320,4,5,2319,15,5
321,2,5,2320,15,5
322,1,5,2321,16,5
323,1,5,2322,17,5
324,1,5,2323,16,5
325,1,5,2324,16,5
326,1,5,2325,15,5
327,2,5,2326,15,5
328,2,5,2327,17,5
329,2,5,2328,16,5
330,-2,5,2329,17,5
331,-4,5,2330,19,5
332,-4,5,2331,21,5
333,-5,5,2332,21,5
334,-6,5,2333,22,5
335,-5,5,2334,22,5
336,-5,5,2335,21,5
337,-6,5,2336,20,5
338,-7,5,2337,22,5
339,-7,5,2338,21,5
340,-8,5,2339,20,5
341,-8,5,2340,21,5
342,-7,5,2341,20,5
343,-7,5,2342,19,5
344,-7,5,2343,20,5
345,-6,5,2344,18,5
346,-7,5,2345,15,5
347,-7,5,2346,12,5
348,-7,5,2347,10,5
349,-8,5,2348,9,5
350,-8,5,2349,9,5
351,-9,5,2350,9,5
352,-8,5,2351,9,5
353,-7,5,2352,7,5
354,-7,5,2353,6,5
355,-9,5,2354,6,5
356,-10,5,2355,5,5
357,-9,5,2356,4,5
358,-8,5,2357,3,5
359,-8,5,2358,3,5
360,-8,5,2359,3,5
361,-7,5,2360,3,5
362,-5,5,2361,0,5
363,-5,5,2362,-1,5
364,-4,5,2363,-3,5
365,-6,5,2364,-3,5
366,-7,5,2365,-4,5
367,-7,5,2366,-4,5
368,-8,5,2367,-5,5
369,-8,5,2368,-5,5
370,-7,5,2369,-3,5
371,-6,5,2370,-3,5
372,-3,5,2371,-4,5
373,-2,5,2372,-7,5
374,-4,5,2373,-8,5
375,-5,5,2374,-9,5
376,-5,5,2375,-11,5
377,-6,5,2376,-13,5
378,-6,5,2377,-11,5
379,-7,5,2378,-9,5
380,-8,5,2379,-8,5
381,-7,5,2380,-7,5
382,-5,5,2381,-8,5
383,-5,5,2382,-10,5
384,-4,5,2383,-11,5
385,-4,5,2384,-11,5
386,-3,5,2385,-12,5
387,-4,5,2386,-11,5
388,-4,5,2387,-8,5
389,-3,5,2388,-6,5
390,-2,5,2389,-6,5
391,1,5,2390,-7,5
392,1,5,2391,-7,5
393,0,5,2392,-9,5
394,1,5,2393,-11,5
395,1,5,2394,-12,5
396,-1,5,2395,-13,5
397,-2,5,2396,-10,5
398,-3,5,2397,-7,5
399,-4,5,2398,-4,5
400,-6,5,2399,-3,5
401,-5,5,2400,-5,5
402,-6,5,2401,-5,5
403,-5,5,2402,-8,5
404,-5,5,2403,-11,5
405,-2,5,2404,-11,5
406,-2,5,2405,-11,5
407,-2,5,2406,-9,5
408,-3,5,2407,-6,5
409,-4,5,2408,-4,5
410,-3,5,2409,-5,5
411,-3,5,2410,-5,5
412,-3,5,2411,-6,5
413,-3,5,2412,-7,5
414,0,5,2413,-7,5
415,1,5,2414,-7,5
416,1,5,2415,-5,5
417,0,5,2416,-5,5
418,0,5,2417,-3,5
419,-2,5,2418,0,5
420,-2,5,2419,0,5
421,-3,5,2420,-2,5
422,-3,5,2421,-2,5
423,-3,5,2422,-4,5
424,-3,5,2423,-5,5
425,-3,5,2424,-5,5
426,-3,5,2425,-5,5
427,-2,5,2426,-5,5
428,-4,5,2427,-4,5
429,-4,5,2428,-3,5
430,-4,5,2429,-2,5
431,-4,5,2430,-3,5
432,-4,5,2431,-5,5
433,-3,5,2432,-6,5
434,-3,5,2433,-5,5
435,-4,5,2434,-4,5
436,-4,5,2435,-4,5
437,-4,5,2436,-1,5
438,-3,5,2437,-2,5
439,-2,5,2438,-2,5
440,-3,5,2439,-1,5
441,-3,5,2440,-2,5
442,-4,5,2441,-3,5
443,-5,5,2442,-2,5
444,-4,5,2443,-4,5
445,-5,5,2444,-5,5
446,-4,5,2445,-6,5
447,-4,5,2446,-5,5
448,-1,5,2447,-4,5
449,-1,5,2448,-3,5
450,-1,5,2449,-2,5
451,-2,5,2450,-3,5
452,-4,5,2451,-2,5
453,-5,5,2452,-3,5
454,-5,5,2453,-4,5
455,-7,5,2454,-5,5
456,-6,5,2455,-5,5
457,-5,5,2456,-4,5
458,-5,5,2457,-4,5
459,-5,5,2458,-3,5
460,-4,5,2459,-2,5
461,-4,5,2460,-3,5
462,-4,5,2461,-5,5
463,-5,5,2462,-7,5
464,-5,5,2463,-7,5
465,-4,5,2464,-8,5
466,-6,5,2465,-8,5
467,-5,5,2466,-7,5
468,-4,5,2467,-7,5
469,-6,5,2468,-4,5
470,-6,5,2469,-5,5
471,-6,5,2470,-4,5
472,-4,5,2471,-6,5
473,-6,5,2472,-7,5
474,-5,5,2473,-9,5
475,-5,5,2474,-11,5
476,-6,5,2475,-12,5
477,-7,5,2476,-11,5
478,-8,5,2477,-9,5
479,-8,5,2478,-7,5
480,-8,5,2479,-6,5
481,-7,5,2480,-6,5
482,-6,5,2481,-8,5
483,-5,5,2482,-8,5
484,-5,5,2483,-9,5
485,-5,5,2484,-10,5
486,-6,5,2485,-10,5
487,-7,5,2486,-10,5
488,-8,5,2487,-8,5
489,-8,5,2488,-8,5
490,-7,5,2489,-7,5
491,-6,5,2490,-8,5
492,-6,5,2491,-7,5
493,-6,5,2492,-7,5
494,-6,5,2493,-8,5
495,-6,5,2494,-11,5
496,-5,5,2495,-11,5
497,-6,5,2496,-9,5
498,-6,5,2497,-9,5
499,-5,5,2498,-8,5
500,-5,5,2499,-8,5
501,-6,5,2500,-7,5
502,-6,5,2501,-10,5
503,-6,5,2502,-12,5
504,-7,5,2503,-12,5
505,-6,5,2504,-12,5
506,-6,5,2505,-10,5
507,-7,5,2506,-10,5
508,-7,5,2507,-11,5
509,-8,5,2508,-9,5
510,-8,5,2509,-9,5
511,-8,5,2510,-9,5
512,-8,5,2511,-8,5
513,-7,5,2512,-9,5
514,-5,5,2513,-11,5
515,-3,5,2514,-12,5
516,-3,5,2515,-12,5
517,-3,5,2516,-11,5
518,-4,5,2517,-12,5
519,-4,5,2518,-10,5
520,-4,5,2519,-10,5
521,-4,5,2520,-10,5
522,-4,5,2521,-10,5
523,-4,5,2522,-10,5
524,-5,5,2523,-10,5
525,-5,5,2524,-10,5
526,-5,5,2525,-11,5
527,-6,5,2526,-9,5
528,-6,5,2527,-10,5
529,-7,5,2528,-10,5
530,-5,5,2529,-11,5
531,-4,5,2530,-12,5
532,-5,5,2531,-11,5
533,-6,5,2532,-11,5
534,-6,5,2533,-13,5
535,-7,5,2534,-11,5
536,-7,5,2535,-10,5
537,-5,5,2536,-10,5
538,-5,5,2537,-10,5
539,-5,5,2538,-8,5
540,-5,5,2539,-8,5
541,-5,5,2540,-8,5
542,-6,5,2541,-11,5
543,-6,5,2542,-13,5
544,-6,5,2543,-14,5
545,-7,5,2544,-14,5
546,-7,5,2545,-13,5
547,-7,5,2546,-14,5
548,-6,5,2547,-12,5
549,-7,5,2548,-10,5
550,-8,5,2549,-9,5
551,-7,5,2550,-9,5
552,-8,5,2551,-9,5
553,-7,5,2552,-11,5
554,-6,5,2553,-12,5
555,-5,5,2554,-12,5
556,-4,5,2555,-11,5
557,-4,5,2556,-11,5
558,-5,5,2557,-11,5
559,-6,5,2558,-10,5
560,-7,5,2559,-9,5
561,-8,5,2560,-9,5
562,-8,5,2561,-11,5
563,-8,5,2562,-10,5
564,-6,5,2563,-9,5
565,-5,5,2564,-9,5
566,-4,5,2565,-10,5
567,-3,5,2566,-12,5
568,-2,5,2567,-11,5
569,-3,5,2568,-11,5
570,-4,5,2569,-11,5
571,-4,5,2570,-11,5
572,-5,5,2571,-12,5
573,-4,5,2572,-11,5
574,-3,5,2573,-10,5
575,-1,5,2574,-11,5
576,2,5,2575,-11,5
577,5,5,2576,-12,5
578,6,5,2577,-10,5
579,5,5,2578,-11,5
580,4,5,2579,-10,5
581,3,5,2580,-8,5
582,2,5,2581,-8,5
583,3,5,2582,-8,5
584,3,5,2583,-9,5
585,5,5,2584,-10,5
586,7,5,2585,-10,5
587,11,5,2586,-11,5
588,12,5,2587,-11,5
589,14,5,2588,-10,5
590,14,5,2589,-9,5
591,14,5,2590,-8,5
592,14,5,2591,-8,5
593,15,5,2592,-10,5
594,16,5,2593,-10,5
595,16,5,2594,-12,5
596,16,5,2595,-13,5
597,15,5,2596,-13,5
598,14,5,2597,-11,5
599,15,5,2598,-9,5
600,14,5,2599,-7,5
601,14,5,2600,-6,5
602,11,5,2601,-4,5
603,8,5,2602,-5,5
604,5,5,2603,-6,5
605,6,5,2604,-6,5
606,4,5,2605,-7,5
607,3,5,2606,-5,5
608,1,5,2607,-3,5
609,1,5,2608,0,5
610,-1,5,2609,0,5
611,-3,5,2610,0,5
612,-2,5,2611,-1,5
613,-2,5,2612,0,5
614,-5,5,2613,0,5
615,-7,5,2614,1,5
616,-8,5,2615,3,5
617,-8,5,2616,5,5
618,-9,5,2617,6,5
619,-10,5,2618,8,5
620,-10,5,2619,9,5
621,-11,5,2620,8,5
622,-12,5,2621,8,5
623,-14,5,2622,8,5
624,-15,5,2623,9,5
625,-15,5,2624,10,5
626,-14,5,2625,10,5
627,-13,5,2626,10,5
628,-11,5,2627,10,5
629,-11,5,2628,11,5
630,-10,5,2629,11,5
631,-12,5,2630,9,5
632,-13,5,2631,9,5
633,-14,5,2632,6,5
634,-14,5,2633,3,5
635,-15,5,2634,1,5
636,-14,5,2635,0,5
637,-13,5,2636,-1,5
638,-12,5,2637,-1,5
639,-11,5,2638,-4,5
640,-11,5,2639,-8,5
641,-13,5,2640,-10,5
642,-14,5,2641,-11,5
643,-14,5,2642,-11,5
644,-14,5,2643,-9,5
645,-14,5,2644,-9,5
646,-14,5,2645,-8,5
647,-12,5,2646,-10,5
648,-12,5,2647,-11,5
649,-12,5,2648,-13,5
650,-14,5,2649,-15,5
651,-15,5,2650,-15,5
652,-14,5,2651,-15,5
653,-10,5,2652,-15,5
654,-5,5,2653,-15,5
655,4,5,2654,-15,5
656,13,5,2655,-15,5
657,25,5,2656,-15,5
658,42,5,2657,-15,5
659,54,5,2658,-15,5
660,54,5,2659,-15,5
661,54,5,2660,-15,5
662,54,5,2661,-15,5
663,54,5,2662,-15,5
664,54,5,2663,-15,5
665,54,5,2664,-15,5
666,54,5,2665,-15,5
667,54,5,2666,-15,5
668,54,5,2667,-15,5
669,53,5,2668,-15,5
670,31,5,2669,-15,5
671,7,5,2670,-15,5
672,-9,5,2671,-15,5
673,-15,5,2672,-15,5
674,-15,5,2673,-15,5
675,-15,5,2674,-15,5
676,-15,5,2675,-15,5
677,-15,5,2676,-15,5
678,-15,5,2677,-15,5
679,-15,5,2678,-15,5
680,-15,5,2679,-15,5
681,-15,5,2680,-15,5
682,-13,5,2681,-15,5
683,-10,5,2682,-15,5
684,-9,5,2683,-14,5
685,-7,5,2684,-7,5
686,-7,5,2685,0,5
687,-7,5,2686,8,5
688,-5,5,2687,17,5
689,-4,5,2688,29,5
690,-5,5,2689,45,5
691,-6,5,2690,54,5
692,-6,5,2691,54,5
693,-6,5,2692,54,5
694,-8,5,2693,54,5
695,-9,5,2694,54,5
696,-8,5,2695,54,5
697,-7,5,2696,54,5
698,-6,5,2697,54,5
699,-7,5,2698,54,5
700,-6,5,2699,40,5
701,-4,5,2700,15,5
702,-4,5,2701,-4,5
703,-5,5,2702,-15,5
704,-5,5,2703,-15,5
705,-7,5,2704,-15,5
706,-7,5,2705,-15,5
707,-6,5,2706,-15,5
708,-5,5,2707,-15,5
709,-2,5,2708,-15,5
710,-2,5,2709,-15,5
711,-2,5,2710,-15,5
712,-2,5,2711,-15,5
713,-4,5,2712,-15,5
714,-4,5,2713,-15,5
715,-3,5,2714,-15,5
716,-3,5,2715,-15,5
717,-4,5,2716,-15,5
718,-2,5,2717,-14,5
719,-2,5,2718,-11,5
720,-2,5,2719,-11,5
721,-3,5,2720,-11,5
722,-3,5,2721,-10,5
723,-3,5,2722,-10,5
724,-4,5,2723,-12,5
725,-3,5,2724,-12,5
726,-3,5,2725,-10,5
