TS,Reading,Flag,TS2,Reading2,Flag2
1,-20,5,2000,-19,5
2,-20,5,2001,-19,5
3,-20,5,2002,-17,5
4,-21,5,2003,-20,5
5,-22,5,2004,-23,5
6,-23,5,2005,-23,5
7,-21,5,2006,-22,5
8,-18,5,2007,-22,5
9,-17,5,2008,-23,5
10,-18,5,2009,-24,5
11,-17,5,2010,-21,5
12,-17,5,2011,-19,5
13,-19,5,2012,-19,5
14,-19,5,2013,-19,5
15,-20,5,2014,-20,5
16,-20,5,2015,-19,5
17,-23,5,2016,-18,5
18,-25,5,2017,-18,5
19,-25,5,2018,-18,5
20,-23,5,2019,-19,5
21,-23,5,2020,-20,5
22,-22,5,2021,-17,5
23,-20,5,2022,-17,5
24,-14,5,2023,-17,5
25,-13,5,2024,-18,5
26,-18,5,2025,-18,5
27,-19,5,2026,-16,5
28,-19,5,2027,-15,5
29,-19,5,2028,-15,5
30,-18,5,2029,-12,5
31,-18,5,2030,-9,5
32,-18,5,2031,-11,5
33,-22,5,2032,-17,5
34,-24,5,2033,-22,5
35,-22,5,2034,-23,5
36,-21,5,2035,-21,5
37,-21,5,2036,-19,5
38,-18,5,2037,-19,5
39,-15,5,2038,-20,5
40,-13,5,2039,-22,5
41,-12,5,2040,-21,5
42,-15,5,2041,-21,5
43,-16,5,2042,-21,5
44,-16,5,2043,-19,5
45,-17,5,2044,-16,5
46,-19,5,2045,-14,5
47,-21,5,2046,-15,5
48,-21,5,2047,-18,5
49,-20,5,2048,-21,5
50,-21,5,2049,-22,5
51,-21,5,2050,-22,5
52,-19,5,2051,-22,5
53,-16,5,2052,-22,5
54,-16,5,2053,-20,5
55,-16,5,2054,-19,5
56,-16,5,2055,-20,5
57,-15,5,2056,-22,5
58,-16,5,2057,-23,5
59,-19,5,2058,-23,5
60,-21,5,2059,-22,5
61,-19,5,2060,-19,5
62,-17,5,2061,-20,5
63,-13,5,2062,-22,5
64,-10,5,2063,-23,5
65,-10,5,2064,-21,5
66,-10,5,2065,-21,5
67,-9,5,2066,-20,5
68,-3,5,2067,-20,5
69,-1,5,2068,-21,5
70,-2,5,2069,-23,5
71,-3,5,2070,-20,5
72,-3,5,2071,-17,5
73,0,5,2072,-17,5
74,5,5,2073,-17,5
75,6,5,2074,-20,5
76,5,5,2075,-19,5
77,5,5,2076,-16,5
78,4,5,2077,-15,5
79,5,5,2078,-15,5
80,8,5,2079,-17,5
81,8,5,2080,-15,5
82,5,5,2081,-16,5
83,4,5,2082,-16,5
84,5,5,2083,-16,5
85,3,5,2084,-18,5
86,2,5,2085,-20,5
87,3,5,2086,-18,5
88,4,5,2087,-19,5
89,7,5,2088,-22,5
90,8,5,2089,-20,5
91,8,5,2090,-19,5
92,9,5,2091,-18,5
93,8,5,2092,-19,5
94,6,5,2093,-18,5
95,4,5,2094,-15,5
96,2,5,2095,-14,5
97,1,5,2096,-12,5
98,1,5,2097,-10,5
99,1,5,2098,-11,5
100,-1,5,2099,-12,5
101,-4,5,2100,-11,5
102,-7,5,2101,-10,5
103,-7,5,2102,-10,5
104,-8,5,2103,-10,5
105,-8,5,2104,-10,5
106,-10,5,2105,-9,5
107,-13,5,2106,-6,5
108,-14,5,2107,-6,5
109,-15,5,2108,-5,5
110,-16,5,2109,-3,5
111,-17,5,2110,0,5
112,-21,5,2111,1,5
113,-25,5,2112,1,5
114,-25,5,2113,5,5
115,-25,5,2114,7,5
116,-25,5,2115,5,5
117,-24,5,2116,4,5
118,-21,5,2117,6,5
119,-20,5,2118,8,5
120,-20,5,2119,9,5
121,-20,5,2120,9,5
122,-20,5,2121,9,5
123,-21,5,2122,7,5
124,-19,5,2123,5,5
125,-19,5,2124,1,5
126,-22,5,2125,1,5
127,-23,5,2126,3,5
128,-24,5,2127,5,5
129,-24,5,2128,7,5
130,-25,5,2129,5,5
131,-25,5,2130,2,5
132,-25,5,2131,-5,5
133,-25,5,2132,-8,5
134,-25,5,2133,-10,5
135,-25,5,2134,-11,5
136,-25,5,2135,-12,5
137,-25,5,2136,-14,5
138,-25,5,2137,-18,5
139,-25,5,2138,-19,5
140,-25,5,2139,-21,5
141,-25,5,2140,-20,5
142,-22,5,2141,-19,5
143,-16,5,2142,-18,5
144,-7,5,2143,-20,5
145,3,5,2144,-24,5
146,18,5,2145,-24,5
147,34,5,2146,-22,5
148,52,5,2147,-23,5
149,74,5,2148,-23,5
150,90,5,2149,-24,5
151,90,5,2150,-22,5
152,90,5,2151,-21,5
153,90,5,2152,-23,5
154,90,5,2153,-24,5
155,90,5,2154,-24,5
156,90,5,2155,-25,5
157,90,5,2156,-25,5
158,90,5,2157,-25,5
159,90,5,2158,-25,5
160,61,5,2159,-25,5
161,31,5,2160,-25,5
162,5,5,2161,-23,5
163,-13,5,2162,-23,5
164,-24,5,2163,-25,5
165,-25,5,2164,-25,5
166,-25,5,2165,-25,5
167,-25,5,2166,-22,5
168,-25,5,2167,-19,5
169,-25,5,2168,-20,5
170,-25,5,2169,-22,5
171,-25,5,2170,-23,5
172,-24,5,2171,-23,5
173,-22,5,2172,-22,5
174,-19,5,2173,-20,5
175,-16,5,2174,-14,5
176,-17,5,2175,-6,5
177,-25,5,2176,3,5
178,-25,5,2177,12,5
179,-25,5,2178,24,5
180,-25,5,2179,41,5
181,-24,5,2180,62,5
182,-23,5,2181,90,5
183,-23,5,2182,90,5
184,-23,5,2183,90,5
185,-24,5,2184,90,5
186,-23,5,2185,90,5
187,-19,5,2186,90,5
188,-19,5,2187,90,5
189,-20,5,2188,90,5
190,-20,5,2189,90,5
191,-20,5,2190,90,5
192,-20,5,2191,90,5
193,-21,5,2192,60,5
194,-23,5,2193,33,5
195,-23,5,2194,14,5
196,-22,5,2195,2,5
197,-21,5,2196,-6,5
198,-24,5,2197,-12,5
199,-25,5,2198,-15,5
200,-23,5,2199,-20,5
201,-21,5,2200,-22,5
202,-22,5,2201,-21,5
203,-20,5,2202,-20,5
204,-20,5,2203,-18,5
205,-19,5,2204,-18,5
206,-18,5,2205,-18,5
207,-19,5,2206,-15,5
208,-19,5,2207,-13,5
209,-18,5,2208,-11,5
210,-18,5,2209,-11,5
211,-17,5,2210,-10,5
212,-17,5,2211,-10,5
