TS,Reading,Flag,TS2,Reading2,Flag2
1,-7,5,2000,-11,5
2,-9,5,2001,-11,5
3,-9,5,2002,-10,5
4,-10,5,2003,-12,5
5,-10,5,2004,-16,5
6,-10,5,2005,-16,5
7,-8,5,2006,-16,5
8,-5,5,2007,-16,5
9,-6,5,2008,-16,5
10,-8,5,2009,-15,5
11,-7,5,2010,-13,5
12,-7,5,2011,-12,5
13,-8,5,2012,-11,5
14,-7,5,2013,-11,5
15,-6,5,2014,-12,5
16,-6,5,2015,-11,5
17,-7,5,2016,-11,5
18,-10,5,2017,-11,5
19,-10,5,2018,-11,5
20,-9,5,2019,-11,5
21,-8,5,2020,-12,5
22,-8,5,2021,-9,5
23,-7,5,2022,-8,5
24,-2,5,2023,-7,5
25,-3,5,2024,-9,5
26,-7,5,2025,-10,5
27,-6,5,2026,-8,5
28,-4,5,2027,-9,5
29,-5,5,2028,-9,5
30,-5,5,2029,-7,5
31,-6,5,2030,-3,5
32,-7,5,2031,-3,5
33,-11,5,2032,-7,5
34,-12,5,2033,-10,5
35,-9,5,2034,-11,5
36,-9,5,2035,-8,5
37,-7,5,2036,-8,5
38,-2,5,2037,-10,5
39,3,5,2038,-13,5
40,5,5,2039,-16,5
41,4,5,2040,-16,5
42,-2,5,2041,-14,5
43,-6,5,2042,-13,5
44,-8,5,2043,-10,5
45,-9,5,2044,-6,5
46,-10,5,2045,-3,5
47,-7,5,2046,-5,5
48,-4,5,2047,-8,5
49,-3,5,2048,-11,5
50,-5,5,2049,-12,5
51,-9,5,2050,-13,5
52,-11,5,2051,-15,5
53,-9,5,2052,-15,5
54,-7,5,2053,-10,5
55,-7,5,2054,-7,5
56,-7,5,2055,-7,5
57,-4,5,2056,-8,5
58,-2,5,2057,-11,5
59,-5,5,2058,-13,5
60,-7,5,2059,-13,5
61,-6,5,2060,-12,5
62,-5,5,2061,-13,5
63,-2,5,2062,-14,5
64,-1,5,2063,-14,5
65,-2,5,2064,-12,5
66,-3,5,2065,-11,5
67,-3,5,2066,-12,5
68,0,5,2067,-12,5
69,0,5,2068,-13,5
70,-1,5,2069,-16,5
71,0,5,2070,-14,5
72,0,5,2071,-10,5
73,2,5,2072,-9,5
74,6,5,2073,-9,5
75,6,5,2074,-10,5
76,3,5,2075,-9,5
77,2,5,2076,-6,5
78,-1,5,2077,-6,5
79,-1,5,2078,-7,5
80,0,5,2079,-8,5
81,0,5,2080,-7,5
82,-2,5,2081,-7,5
83,-3,5,2082,-7,5
84,-2,5,2083,-8,5
85,-4,5,2084,-11,5
86,-5,5,2085,-13,5
87,-5,5,2086,-10,5
88,-6,5,2087,-12,5
89,-6,5,2088,-14,5
90,-5,5,2089,-12,5
91,-3,5,2090,-9,5
92,1,5,2091,-9,5
93,6,5,2092,-9,5
94,6,5,2093,-9,5
95,2,5,2094,-8,5
96,1,5,2095,-8,5
97,3,5,2096,-9,5
98,6,5,2097,-9,5
99,7,5,2098,-11,5
100,5,5,2099,-13,5
101,3,5,2100,-12,5
102,3,5,2101,-12,5
103,2,5,2102,-12,5
104,2,5,2103,-12,5
105,1,5,2104,-12,5
106,0,5,2105,-12,5
107,-2,5,2106,-11,5
108,-2,5,2107,-13,5
109,-1,5,2108,-14,5
110,-2,5,2109,-13,5
111,0,5,2110,-11,5
112,-3,5,2111,-10,5
113,-7,5,2112,-10,5
114,-5,5,2113,-7,5
115,-4,5,2114,-4,5
116,-2,5,2115,-8,5
117,0,5,2116,-10,5
118,1,5,2117,-7,5
119,2,5,2118,-5,5
120,1,5,2119,-4,5
121,1,5,2120,-3,5
122,0,5,2121,0,5
123,0,5,2122,0,5
124,1,5,2123,-2,5
125,1,5,2124,-5,5
126,-2,5,2125,-4,5
127,-4,5,2126,0,5
128,-5,5,2127,5,5
129,-6,5,2128,10,5
130,-7,5,2129,12,5
131,-9,5,2130,10,5
132,-9,5,2131,2,5
133,-8,5,2132,-2,5
134,-8,5,2133,-5,5
135,-7,5,2134,-7,5
136,-4,5,2135,-8,5
137,-2,5,2136,-9,5
138,2,5,2137,-11,5
139,4,5,2138,-11,5
140,1,5,2139,-9,5
141,-2,5,2140,-7,5
142,1,5,2141,-4,5
143,3,5,2142,-4,5
144,3,5,2143,-5,5
145,8,5,2144,-9,5
146,14,5,2145,-8,5
147,14,5,2146,-7,5
148,16,5,2147,-8,5
149,20,5,2148,-8,5
150,23,5,2149,-8,5
151,33,5,2150,-6,5
152,47,5,2151,-5,5
153,47,5,2152,-9,5
154,47,5,2153,-11,5
155,47,5,2154,-11,5
156,47,5,2155,-12,5
157,47,5,2156,-13,5
158,47,5,2157,-12,5
159,47,5,2158,-12,5
160,41,5,2159,-11,5
161,33,5,2160,-9,5
162,23,5,2161,-7,5
163,12,5,2162,-9,5
164,5,5,2163,-12,5
165,1,5,2164,-15,5
166,0,5,2165,-14,5
167,-2,5,2166,-8,5
168,-1,5,2167,-6,5
169,0,5,2168,-8,5
170,-1,5,2169,-9,5
171,-3,5,2170,-10,5
172,-3,5,2171,-11,5
173,-2,5,2172,-9,5
174,-1,5,2173,-6,5
175,1,5,2174,-2,5
176,-1,5,2175,0,5
177,-10,5,2176,2,5
178,-15,5,2177,3,5
179,-15,5,2178,4,5
180,-14,5,2179,8,5
181,-12,5,2180,11,5
182,-11,5,2181,21,5
183,-10,5,2182,36,5
184,-10,5,2183,47,5
185,-10,5,2184,47,5
186,-8,5,2185,47,5
187,-4,5,2186,47,5
188,-4,5,2187,47,5
189,-5,5,2188,47,5
190,-5,5,2189,47,5
191,-7,5,2190,47,5
192,-8,5,2191,47,5
193,-9,5,2192,47,5
194,-12,5,2193,40,5
195,-13,5,2194,28,5
196,-11,5,2195,21,5
197,-11,5,2196,15,5
198,-11,5,2197,10,5
199,-13,5,2198,8,5
200,-10,5,2199,3,5
201,-10,5,2200,-2,5
202,-11,5,2201,-5,5
203,-9,5,2202,-7,5
204,-9,5,2203,-7,5
205,-8,5,2204,-8,5
206,-7,5,2205,-10,5
207,-8,5,2206,-8,5
208,-9,5,2207,-6,5
209,-7,5,2208,-5,5
210,-8,5,2209,-3,5
211,-7,5,2210,-3,5
212,-6,5,2211,-4,5
213,-6,5,2212,-5,5
214,-6,5,2213,-5,5
215,-8,5,2214,-5,5
216,-11,5,2215,-6,5
217,-11,5,2216,-6,5
218,-11,5,2217,-7,5
219,-14,5,2218,-9,5
220,-15,5,2219,-9,5
221,-17,5,2220,-5,5
222,-17,5,2221,-4,5
223,-17,5,2222,-4,5
224,-17,5,2223,-4,5
225,-17,5,2224,-5,5
226,-17,5,2225,-7,5
227,-17,5,2226,-9,5
228,-17,5,2227,-9,5
229,-17,5,2228,-10,5
230,-16,5,2229,-12,5
231,-16,5,2230,-10,5
232,-17,5,2231,-8,5
233,-17,5,2232,-5,5
234,-15,5,2233,-4,5
235,-15,5,2234,-5,5
236,-13,5,2235,-5,5
237,-11,5,2236,-8,5
238,-9,5,2237,-9,5
239,-7,5,2238,-11,5
240,-9,5,2239,-11,5
241,-10,5,2240,-9,5
242,-11,5,2241,-8,5
243,-8,5,2242,-9,5
244,-7,5,2243,-10,5
245,-8,5,2244,-10,5
246,-8,5,2245,-8,5
247,-6,5,2246,-8,5
248,-8,5,2247,-8,5
249,-11,5,2248,-9,5
250,-13,5,2249,-12,5
251,-13,5,2250,-14,5
252,-12,5,2251,-14,5
253,-13,5,2252,-10,5
254,-12,5,2253,-7,5
255,-8,5,2254,-7,5
256,-6,5,2255,-10,5
257,-7,5,2256,-11,5
258,-8,5,2257,-11,5
259,-8,5,2258,-9,5
260,-7,5,2259,-9,5
261,-6,5,2260,-12,5
262,-6,5,2261,-14,5
263,-7,5,2262,-13,5
264,-8,5,2263,-8,5
265,-6,5,2264,-6,5
266,-5,5,2265,-5,5
267,-4,5,2266,-3,5
268,0,5,2267,-2,5
269,4,5,2268,-2,5
270,5,5,2269,-3,5
271,6,5,2270,-5,5
272,4,5,2271,-7,5
273,-1,5,2272,-9,5
274,-5,5,2273,-10,5
275,-6,5,2274,-12,5
276,-5,5,2275,-13,5
277,-2,5,2276,-14,5
278,-1,5,2277,-14,5
279,-2,5,2278,-15,5
280,-4,5,2279,-12,5
281,-5,5,2280,-8,5
282,-3,5,2281,-5,5
283,-3,5,2282,-4,5
284,-4,5,2283,-2,5
285,-3,5,2284,-2,5
286,0,5,2285,-3,5
287,3,5,2286,-3,5
288,4,5,2287,-3,5
289,3,5,2288,-3,5
290,4,5,2289,-4,5
291,8,5,2290,-7,5
292,10,5,2291,-8,5
293,9,5,2292,-8,5
294,8,5,2293,-8,5
295,6,5,2294,-5,5
296,5,5,2295,-1,5
297,3,5,2296,1,5
298,-1,5,2297,3,5
299,-3,5,2298,3,5
300,-4,5,2299,5,5
301,-3,5,2300,4,5
302,0,5,2301,1,5
303,1,5,2302,-1,5
304,0,5,2303,0,5
305,-2,5,2304,2,5
306,-3,5,2305,2,5
307,-1,5,2306,1,5
308,0,5,2307,0,5
309,4,5,2308,-1,5
310,7,5,2309,-2,5
311,7,5,2310,-1,5
312,4,5,2311,0,5
313,2,5,2312,2,5
314,1,5,2313,4,5
315,0,5,2314,8,5
316,-2,5,2315,10,5
317,-4,5,2316,10,5
318,-3,5,2317,10,5
319,-2,5,2318,8,5
