TS,Reading
1,-1.4
2,-1.1
3,-1
4,-1.1
5,-1.1
6,-1.2
7,-1.2
8,-1.2
9,-1.2
10,-1.2
11,-1.1
12,-1.3
13,-1.3
14,-1.3
15,-1
16,-1
17,-1.2
18,-1.3
19,-1.3
20,-1.3
21,-1.1
22,-1
23,-1.2
24,-1.5
25,-1.4
26,-1.5
27,-1.5
28,-1.4
29,-1.4
30,-1.4
31,-1.6
32,-1.6
33,-1.6
34,-1.6
35,-1.3
36,-1.3
37,-1.1
38,-1.2
39,-1.3
40,-1.3
41,-1.4
42,-1.5
43,-1.4
44,-1.6
45,-1.6
46,-1.4
47,-1.2
48,-0.9
49,-0.8
50,-0.8
51,-0.7
52,-0.7
53,-0.8
54,-1.2
55,-1.1
56,-0.9
57,-0.9
58,-0.8
59,-0.5
60,-0.5
61,-0.3
62,-0.2
63,-0.5
64,-0.5
65,-0.5
66,-0.3
67,-0.2
68,-0.1
69,-0.1
70,0
71,0
72,-0.1
73,-0.1
74,-0.2
75,-0.4
76,-0.7
77,-0.7
78,-0.7
79,-0.8
80,-0.8
81,-0.8
82,-0.9
83,-0.9
84,-0.8
85,-0.8
86,-0.9
87,-1
88,-0.9
89,-1.1
90,-1.2
91,-1.3
92,-1.3
93,-1.3
94,-1.5
95,-1.7
96,-1.5
97,-1.5
98,-1.6
99,-1.8
100,-1.8
101,-1.9
102,-1.7
103,-1.7
104,-1.8
105,-1.9
106,-1.9
107,-1.8
108,-1.7
109,-1.7
110,-1.6
111,-1.5
112,-1.5
113,-1.7
114,-1.6
115,-1.6
116,-1.5
117,-1.7
118,-2
119,-1.9
120,-1.7
121,-1.4
122,-0.7
123,0.3
124,1.8
125,3.9
126,6.5
127,9.1
128,11.3
129,14.5
130,19.2
131,24.1
132,27.1
133,28.8
134,29.4
135,28.9
136,25.6
137,21.3
138,16.8
139,11.4
140,3.5
141,-4.5
142,-9.5
143,-11.8
144,-13.1
145,-14.5
146,-15.5
147,-15.7
148,-15
149,-14
150,-12.6
