TS,Reading,Flag,TS2,Reading2,Flag2
1,-15,5,2000,-19,5
2,-14,5,2001,-19,5
3,-15,5,2002,-19,5
4,-16,5,2003,-19,5
5,-15,5,2004,-19,5
6,-15,5,2005,-19,5
7,-15,5,2006,-19,5
8,-15,5,2007,-19,5
9,-14,5,2008,-19,5
10,-15,5,2009,-19,5
11,-16,5,2010,-19,5
12,-17,5,2011,-19,5
13,-17,5,2012,-19,5
14,-17,5,2013,-19,5
15,-16,5,2014,-19,5
16,-16,5,2015,-19,5
17,-17,5,2016,-19,5
18,-18,5,2017,-19,5
19,-18,5,2018,-19,5
20,-18,5,2019,-19,5
21,-18,5,2020,-19,5
22,-17,5,2021,-19,5
23,-15,5,2022,-19,5
24,-12,5,2023,-19,5
25,-12,5,2024,-19,5
26,-13,5,2025,-19,5
27,-13,5,2026,-19,5
28,-13,5,2027,-19,5
29,-13,5,2028,-19,5
30,-13,5,2029,-19,5
31,-13,5,2030,-18,5
32,-14,5,2031,-18,5
33,-15,5,2032,-18,5
34,-15,5,2033,-19,5
35,-13,5,2034,-19,5
36,-13,5,2035,-18,5
37,-14,5,2036,-17,5
38,-13,5,2037,-19,5
39,-14,5,2038,-19,5
40,-14,5,2039,-19,5
41,-13,5,2040,-19,5
42,-15,5,2041,-19,5
43,-15,5,2042,-19,5
44,-13,5,2043,-19,5
45,-13,5,2044,-19,5
46,-14,5,2045,-19,5
47,-15,5,2046,-19,5
48,-15,5,2047,-19,5
49,-15,5,2048,-19,5
50,-14,5,2049,-19,5
51,-14,5,2050,-19,5
52,-14,5,2051,-19,5
53,-14,5,2052,-19,5
54,-14,5,2053,-19,5
55,-14,5,2054,-19,5
56,-14,5,2055,-19,5
57,-14,5,2056,-19,5
58,-14,5,2057,-19,5
59,-14,5,2058,-19,5
60,-12,5,2059,-19,5
61,-12,5,2060,-19,5
62,-11,5,2061,-19,5
63,-9,5,2062,-19,5
64,-8,5,2063,-19,5
65,-8,5,2064,-19,5
66,-9,5,2065,-19,5
67,-9,5,2066,-19,5
68,-7,5,2067,-19,5
69,-6,5,2068,-19,5
70,-6,5,2069,-19,5
71,-7,5,2070,-19,5
72,-7,5,2071,-17,5
73,-6,5,2072,-17,5
74,-6,5,2073,-17,5
75,-7,5,2074,-19,5
76,-8,5,2075,-19,5
77,-7,5,2076,-18,5
78,-6,5,2077,-18,5
79,-5,5,2078,-18,5
80,-4,5,2079,-18,5
81,-5,5,2080,-17,5
82,-7,5,2081,-18,5
83,-7,5,2082,-18,5
84,-8,5,2083,-18,5
85,-9,5,2084,-18,5
86,-11,5,2085,-18,5
87,-11,5,2086,-18,5
88,-9,5,2087,-18,5
89,-5,5,2088,-19,5
90,-4,5,2089,-19,5
91,-2,5,2090,-19,5
92,-2,5,2091,-19,5
93,-2,5,2092,-19,5
94,-1,5,2093,-19,5
95,-1,5,2094,-19,5
96,-1,5,2095,-19,5
97,-1,5,2096,-18,5
98,0,5,2097,-18,5
99,0,5,2098,-19,5
100,1,5,2099,-19,5
101,1,5,2100,-19,5
102,0,5,2101,-18,5
103,0,5,2102,-17,5
104,-1,5,2103,-16,5
105,-4,5,2104,-16,5
106,-6,5,2105,-17,5
107,-8,5,2106,-16,5
108,-10,5,2107,-15,5
109,-12,5,2108,-15,5
110,-14,5,2109,-14,5
111,-15,5,2110,-14,5
112,-16,5,2111,-14,5
113,-18,5,2112,-13,5
114,-18,5,2113,-12,5
115,-17,5,2114,-12,5
116,-17,5,2115,-13,5
117,-16,5,2116,-13,5
118,-16,5,2117,-13,5
119,-16,5,2118,-13,5
120,-16,5,2119,-12,5
121,-16,5,2120,-11,5
122,-16,5,2121,-10,5
123,-16,5,2122,-11,5
124,-15,5,2123,-11,5
125,-15,5,2124,-11,5
126,-15,5,2125,-10,5
127,-15,5,2126,-8,5
128,-15,5,2127,-7,5
129,-16,5,2128,-6,5
130,-16,5,2129,-6,5
131,-17,5,2130,-6,5
132,-16,5,2131,-7,5
133,-16,5,2132,-7,5
134,-16,5,2133,-8,5
135,-18,5,2134,-10,5
136,-18,5,2135,-11,5
137,-19,5,2136,-14,5
138,-19,5,2137,-17,5
139,-18,5,2138,-18,5
140,-16,5,2139,-19,5
141,-13,5,2140,-19,5
142,-10,5,2141,-19,5
143,-4,5,2142,-19,5
144,8,5,2143,-19,5
145,24,5,2144,-19,5
146,45,5,2145,-19,5
147,72,5,2146,-19,5
148,102,5,2147,-19,5
149,134,5,2148,-19,5
150,142,5,2149,-19,5
151,142,5,2150,-19,5
152,142,5,2151,-19,5
153,142,5,2152,-19,5
