TS,Reading
1,-1.3
2,-1.2
3,-1.1
4,-1
5,-1.2
6,-1.1
7,-1.1
8,-1.1
9,-1.2
10,-1.4
11,-1.4
12,-1.6
13,-1.5
14,-1.3
15,-1.1
16,-1.1
17,-1.2
18,-1.1
19,-1.2
20,-1.1
21,-1.2
22,-1.2
23,-1
24,-1.2
25,-1.2
26,-1.3
27,-1.2
28,-1.1
29,-1.1
30,-1.1
31,-1.1
32,-1.3
33,-1.4
34,-1.2
35,-0.8
36,-1
37,-1.3
38,-1.3
39,-1.3
40,-1.3
41,-1.8
42,-1.9
43,-2
44,-1.7
45,-1.6
46,-1.3
47,-0.8
48,-0.7
49,-0.6
50,-0.5
51,-0.7
52,-0.6
53,-0.7
54,-0.9
55,-1.1
56,-0.9
57,-0.9
58,-0.7
59,-0.5
60,-0.4
61,-0.2
62,0
63,0.3
64,0
65,-0.2
66,0
67,0
68,0.2
69,0.2
70,0.3
71,0.1
72,-0.1
73,-0.2
74,-0.2
75,-0.5
76,-0.8
77,-0.7
78,-0.6
79,-0.7
80,-0.7
81,-0.7
82,-0.9
83,-0.8
84,-1
85,-1.2
86,-0.8
87,-1
88,-1
89,-0.8
90,-0.9
91,-1
92,-1.1
93,-0.9
94,-1.2
95,-1.2
96,-0.9
97,-1
98,-1.1
99,-1.2
100,-1.3
101,-1.6
102,-1.4
103,-1.6
104,-1.7
105,-1.6
106,-1.6
107,-1.6
108,-1.3
109,-1.2
110,-1.1
111,-1.4
112,-1.6
113,-1.5
114,-1.5
115,-1.3
116,-1.2
117,-1.3
118,-0.8
119,-0.6
120,-0.3
121,0.4
122,0.9
123,1.1
124,0.9
125,0.7
126,0.7
127,0
128,-0.6
129,-0.5
130,-0.6
131,-0.2
132,1.1
133,1.9
134,2.7
135,3.2
136,3.1
137,3.3
138,3.4
139,2.6
140,0.5
141,-0.9
142,-2.1
143,-2.9
144,-3.3
145,-4.5
146,-5.9
147,-6.1
148,-5.8
149,-4.9
150,-3.9
151,-2.6
152,-1.9
153,-1.6
154,-1.7
155,-2.1
156,-1.8
157,-2
158,-1.9
159,-1.6
160,-1.6
161,-1.3
162,-1.3
163,-1.3
164,-1.6
165,-1.3
166,-1.3
167,-1.5
168,-1.5
169,-1.2
170,-1.1
171,-1.3
172,-1.6
173,-1.8
174,-1.7
175,-1.4
176,-1.1
177,-1.3
178,-1.5
179,-1.3
180,-1.4
181,-1.6
182,-1.5
183,-1.3
184,-1.5
185,-1.5
186,-1.5
187,-1.6
188,-1.4
189,-1.5
190,-1.4
191,-1.2
192,-1.1
193,-1.2
194,-1
195,-1.3
196,-1.2
197,-1.5
198,-1.3
199,-1.2
200,-1.4
201,-0.9
202,-1.3
203,-1.3
204,-1.2
205,-1.2
206,-1.4
207,-1.1
208,-1
209,-0.8
210,-0.7
211,-0.8
212,-0.9
213,-1.1
214,-1.3
215,-1.4
216,-1.1
217,-0.8
218,-1
219,-1
220,-0.9
221,-0.7
222,-0.5
223,-0.9
224,-1.1
225,-0.9
226,-0.9
227,-1.2
228,-1
229,-0.8
230,-0.6
231,-0.5
232,-0.7
233,-0.7
234,-0.8
235,-0.9
236,-0.7
237,-0.4
238,-0.6
239,-0.9
240,-0.8
241,-0.7
242,-0.8
243,-0.8
244,-0.7
245,-0.4
246,-0.3
247,-0.4
248,-0.4
249,0.1
250,0.3
251,0.3
252,-0.2
253,-0.3
254,0
255,0.1
256,0.2
257,-0.1
258,0
259,-0.1
260,-0.3
261,-0.2
262,0.1
263,0.3
264,0.2
265,-0.2
266,0.2
267,0.3
268,0.3
269,0.2
270,0.2
271,0.3
272,0.3
273,0.1
274,0.1
275,0
276,-0.1
277,0
278,-0.2
279,-0.2
280,-0.1
281,0.2
282,0.3
283,0
284,-0.3
285,-0.2
286,-0.2
287,-0.5
288,-0.6
289,-0.3
290,0
291,0.3
292,0.2
293,0
294,-0.1
295,-0.4
296,-0.4
297,-0.3
298,-0.4
299,-0.4
300,-0.2
301,0
302,-0.2
303,-0.1
304,0.1
305,-0.1
306,-0.6
307,-0.5
308,-0.2
309,-0.4
310,-0.1
311,-0.1
312,-0.4
313,-0.6
314,-0.8
315,-0.9
316,-0.8
317,-0.5
318,-0.8
319,-1.1
320,-1.2
321,-0.9
322,-1.1
323,-1.2
324,-1.2
325,-0.9
326,-0.2
327,-0.3
328,-0.6
329,-0.8
330,-1.1
331,-1.2
332,-1.1
333,-1
334,-0.9
335,-0.9
336,-0.9
337,-0.9
338,-0.9
339,-0.8
340,-0.9
341,-1
342,-1
343,-1.1
344,-1
345,-1.2
346,-1.3
347,-1
348,-0.9
349,-1.1
350,-1
351,-1.1
352,-1.2
353,-1.2
354,-0.9
355,-0.9
356,-0.8
357,-0.9
358,-0.7
359,-0.8
360,-1
361,-1.1
362,-1
363,-1
364,-1.1
365,-1
366,-0.9
367,-0.9
368,-0.8
369,-1.1
370,-1.1
371,-1
372,-0.8
373,-0.7
374,-1
375,-1.5
376,-1.2
377,-1
378,-0.9
379,-0.8
380,-0.5
381,-0.7
382,-0.9
383,-0.8
384,-0.6
385,-0.5
386,-0.7
387,-0.8
388,-0.7
389,-0.8
390,-0.8
391,-0.7
392,-0.7
393,-0.6
394,-0.6
395,-0.5
396,-0.6
397,-0.6
398,-0.7
399,-0.6
400,-0.4
401,-0.5
402,-0.7
403,-0.8
404,-0.9
405,-1
406,-0.7
407,-0.7
408,-0.7
409,-0.7
410,-0.6
411,-0.6
412,-0.7
413,-0.7
414,-0.9
415,-1.1
416,-1
417,-1.1
418,-0.9
419,-0.8
420,-0.6
421,-0.7
422,-0.7
423,-0.4
424,-0.5
425,-0.7
426,-0.8
427,-0.8
428,-0.8
429,-1
430,-1
431,-0.6
432,-0.5
433,-0.9
434,-1.1
435,-1
436,-1.1
437,-0.9
438,-0.5
439,-0.5
440,-1
441,-1.4
442,-1.6
443,-1.2
444,-0.9
445,-0.8
446,-0.6
447,-0.5
448,-0.6
449,-0.6
450,-0.9
451,-1.3
452,-0.9
453,-0.7
454,-0.8
455,-1
456,-1
457,-1
458,-1.2
459,-1.5
460,-1.5
461,-1.3
462,-1.2
463,-0.8
464,-0.7
465,-0.8
466,-0.8
467,-0.7
468,-0.9
469,-1.1
470,-1.1
471,-1
472,-1
473,-0.9
474,-0.9
475,-1.1
476,-0.8
477,-0.9
478,-1
479,-1.2
480,-1.4
481,-1.5
482,-1
483,-1
484,-1
485,-1
486,-0.8
487,-0.8
488,-0.6
489,-0.8
490,-1
491,-0.9
492,-0.9
493,-0.8
494,-0.9
495,-0.9
496,-1
497,-1
498,-0.9
499,-0.8
500,-1.1
501,-1.2
502,-1.2
503,-1
504,-1.1
505,-1
506,-0.9
507,-0.9
508,-0.8
509,-0.8
510,-0.8
511,-0.7
512,-0.7
513,-1
514,-1
515,-1.2
516,-1.3
517,-1.1
518,-1
519,-1.5
520,-1.3
521,-1
522,-1.2
523,-1.3
524,-1.1
525,-1
526,-0.8
527,-0.6
528,-0.5
529,-0.6
530,-0.6
531,-0.4
532,-0.4
533,-0.3
534,-0.2
535,0
536,0
537,-0.2
538,0
539,0.3
540,0.2
541,0
542,-0.2
543,-0.2
544,-0.3
