TS,Reading,Flag,TS2,Reading2,Flag2
1,-17,5,2000,-14,5
2,-16,5,2001,-14,5
3,-16,5,2002,-12,5
4,-16,5,2003,-14,5
5,-17,5,2004,-15,5
6,-18,5,2005,-15,5
7,-17,5,2006,-14,5
8,-16,5,2007,-14,5
9,-14,5,2008,-15,5
10,-14,5,2009,-17,5
11,-14,5,2010,-15,5
12,-14,5,2011,-13,5
13,-15,5,2012,-14,5
14,-16,5,2013,-14,5
15,-17,5,2014,-14,5
16,-17,5,2015,-14,5
17,-18,5,2016,-13,5
18,-18,5,2017,-13,5
19,-18,5,2018,-13,5
20,-18,5,2019,-14,5
21,-18,5,2020,-14,5
22,-18,5,2021,-13,5
23,-17,5,2022,-13,5
24,-13,5,2023,-14,5
25,-12,5,2024,-14,5
26,-15,5,2025,-13,5
27,-16,5,2026,-12,5
28,-17,5,2027,-11,5
29,-17,5,2028,-11,5
30,-16,5,2029,-9,5
31,-15,5,2030,-8,5
32,-15,5,2031,-10,5
33,-17,5,2032,-14,5
34,-18,5,2033,-17,5
35,-18,5,2034,-18,5
36,-17,5,2035,-17,5
37,-18,5,2036,-15,5
38,-17,5,2037,-14,5
39,-16,5,2038,-14,5
40,-15,5,2039,-14,5
41,-14,5,2040,-13,5
42,-14,5,2041,-14,5
43,-13,5,2042,-15,5
44,-12,5,2043,-14,5
45,-13,5,2044,-13,5
46,-14,5,2045,-13,5
47,-18,5,2046,-13,5
48,-18,5,2047,-14,5
49,-18,5,2048,-16,5
50,-18,5,2049,-16,5
51,-17,5,2050,-16,5
52,-14,5,2051,-15,5
53,-12,5,2052,-15,5
54,-13,5,2053,-15,5
55,-13,5,2054,-16,5
56,-13,5,2055,-17,5
57,-13,5,2056,-18,5
58,-15,5,2057,-18,5
59,-17,5,2058,-17,5
60,-18,5,2059,-16,5
61,-16,5,2060,-13,5
62,-15,5,2061,-14,5
63,-12,5,2062,-15,5
64,-10,5,2063,-16,5
65,-9,5,2064,-15,5
66,-9,5,2065,-16,5
67,-8,5,2066,-14,5
68,-3,5,2067,-14,5
69,-1,5,2068,-15,5
70,-2,5,2069,-15,5
71,-3,5,2070,-13,5
72,-3,5,2071,-12,5
73,-1,5,2072,-13,5
74,2,5,2073,-13,5
75,3,5,2074,-15,5
76,4,5,2075,-15,5
77,4,5,2076,-13,5
78,4,5,2077,-12,5
79,5,5,2078,-12,5
80,8,5,2079,-13,5
81,8,5,2080,-12,5
82,6,5,2081,-13,5
83,5,5,2082,-13,5
84,6,5,2083,-12,5
85,5,5,2084,-13,5
86,4,5,2085,-14,5
87,5,5,2086,-13,5
88,7,5,2087,-13,5
89,10,5,2088,-15,5
90,10,5,2089,-14,5
91,9,5,2090,-15,5
92,9,5,2091,-14,5
93,5,5,2092,-15,5
94,3,5,2093,-14,5
95,3,5,2094,-11,5
96,2,5,2095,-10,5
97,0,5,2096,-8,5
98,-2,5,2097,-6,5
99,-2,5,2098,-6,5
100,-3,5,2099,-6,5
101,-5,5,2100,-5,5
102,-8,5,2101,-4,5
103,-8,5,2102,-4,5
104,-9,5,2103,-4,5
105,-8,5,2104,-4,5
106,-10,5,2105,-3,5
107,-12,5,2106,-1,5
108,-13,5,2107,0,5
109,-15,5,2108,2,5
110,-15,5,2109,3,5
111,-17,5,2110,5,5
112,-18,5,2111,6,5
113,-18,5,2112,6,5
114,-18,5,2113,8,5
115,-18,5,2114,9,5
116,-18,5,2115,9,5
117,-18,5,2116,9,5
118,-18,5,2117,9,5
119,-18,5,2118,10,5
120,-18,5,2119,11,5
121,-18,5,2120,10,5
122,-18,5,2121,9,5
123,-18,5,2122,7,5
124,-18,5,2123,6,5
125,-18,5,2124,3,5
126,-18,5,2125,3,5
127,-18,5,2126,3,5
128,-18,5,2127,3,5
129,-18,5,2128,2,5
130,-18,5,2129,-1,5
131,-18,5,2130,-3,5
132,-18,5,2131,-6,5
133,-18,5,2132,-7,5
134,-18,5,2133,-8,5
135,-18,5,2134,-8,5
136,-18,5,2135,-8,5
137,-18,5,2136,-10,5
138,-18,5,2137,-13,5
139,-18,5,2138,-14,5
140,-18,5,2139,-17,5
141,-18,5,2140,-17,5
142,-18,5,2141,-17,5
143,-17,5,2142,-16,5
144,-8,5,2143,-18,5
145,-1,5,2144,-18,5
146,11,5,2145,-18,5
147,27,5,2146,-18,5
