TS,Reading
1,-0.7
2,-0.3
3,-0.2
4,-0.3
5,-0.4
6,-0.2
7,-0.2
8,-0.3
9,-0.1
10,-0.2
11,-0.5
12,-0.6
13,-0.6
14,-0.1
15,-0.1
16,-0.3
17,-0.6
18,-0.8
19,-0.5
20,-0.2
21,-0.3
22,-0.4
23,-0.7
24,-0.8
25,-0.6
26,-0.5
27,-0.3
28,0
29,0.2
30,0
31,-0.1
32,-0.3
33,-0.6
34,-0.6
35,-0.5
36,-0.1
37,-0.2
38,-0.4
39,-0.3
40,-0.6
41,-0.7
42,-0.7
43,-0.8
44,-0.5
45,-0.5
46,-0.8
47,-0.8
48,-0.4
49,-0.3
50,-0.5
51,-0.6
52,-0.7
53,-0.4
54,-0.6
55,-0.6
56,-0.6
57,-0.7
58,-0.4
59,-0.2
60,-0.4
61,-0.4
62,-0.2
63,-0.3
64,-0.5
65,-0.3
66,-0.5
67,-0.3
68,0.1
69,0.2
70,0.2
71,-0.1
72,-0.3
73,0.1
74,0.1
75,0
76,-0.1
77,0.1
78,0.2
79,0.2
80,0
81,-0.1
82,-0.3
83,-0.8
84,-0.4
85,-0.3
86,-0.4
87,-0.2
88,-0.2
89,-0.6
90,-0.7
91,-0.7
92,-0.6
93,-0.6
94,-0.8
95,-1
96,-1
97,-1
98,-0.8
99,-0.8
100,-1
101,-0.6
102,-0.6
103,-0.6
104,-0.6
105,-0.7
106,-0.7
107,-0.7
108,-0.7
109,-0.7
110,-0.7
111,-0.5
112,-0.5
113,-0.8
114,-0.6
115,-0.6
116,-0.7
117,-0.8
118,-1.6
119,-2.3
120,-2.7
121,-2.9
122,-3.1
123,-3.1
124,-2.4
125,-1.3
126,0.1
127,0.8
128,1.9
129,3.5
130,5.1
131,6.9
132,8
133,8.8
134,9.6
135,10.5
136,11.2
137,11.2
138,11.1
139,11.3
140,11.3
141,10.5
142,10
143,9.7
144,9.2
145,9.1
146,8.9
147,8.2
148,7.5
149,6.5
150,5.2
151,3.3
152,2.1
153,1.7
154,1.4
155,0.9
156,0.6
157,0.7
158,0.4
159,0.1
160,0.2
161,0
162,-0.4
163,-0.7
164,-0.4
165,-0.1
166,-0.4
167,-0.5
168,-0.4
169,-0.4
170,-0.6
171,-0.6
172,-0.7
173,-1
174,-0.9
175,-0.7
176,-0.5
177,-0.6
178,-0.7
179,-1.2
180,-1.1
181,-0.7
182,-0.7
183,-1
184,-0.6
185,-0.5
186,-0.8
187,-0.9
188,-0.8
189,-0.6
190,-0.5
191,-0.6
192,-0.4
193,-0.3
194,-0.4
195,-0.4
196,-0.8
197,-0.9
198,-0.8
199,-0.7
200,-0.6
201,-1
202,-1
203,-1
204,-0.8
205,-0.6
206,-0.5
207,-0.5
208,-0.4
209,-0.7
210,-1
211,-0.9
212,-0.6
213,-0.5
214,-0.7
215,-0.5
216,-0.2
217,-0.4
218,-0.2
219,-0.2
220,-0.3
221,-0.5
222,-0.8
223,-0.6
224,-0.4
225,-0.4
226,-0.3
227,-0.2
228,0
229,0.1
230,0
231,-0.1
232,0
233,0
234,-0.2
235,-0.3
236,0.1
237,0.4
238,0.4
239,0.1
240,-0.1
241,0.2
242,0.4
243,0.7
244,0.9
245,0.5
246,0.4
247,0.4
248,0.9
249,1.2
250,1.2
251,1.4
252,1.4
253,1.5
254,1.5
255,1.5
256,1.5
257,1.9
258,1.7
259,1.6
260,1.7
261,1.5
262,1.3
263,1.8
264,1.8
265,1.9
266,2
267,2.1
268,2.1
269,2.2
270,2.1
271,2
272,1.8
273,2.2
274,2.3
275,2.6
276,2.6
277,2.7
278,2.8
279,2.6
280,2.7
281,2.7
282,2.6
283,2.6
284,2.7
285,2.7
286,2.5
287,2.2
288,2.1
289,2.1
290,1.8
291,1.5
292,1.4
293,1.5
294,1.5
295,1.9
296,1.9
297,1.4
298,1
299,0.8
300,1
301,0.9
302,1
303,0.9
304,0.7
305,0.6
306,0.4
307,0.4
308,0.1
309,0.1
310,0
311,0.2
312,0.2
313,0
314,0
315,-0.2
316,-0.2
317,-0.1
318,-0.1
319,-0.2
320,-0.3
321,-0.3
322,-0.2
323,-0.1
324,-0.1
325,0
326,0.4
327,0.7
328,0.3
329,-0.4
330,-0.1
331,0
332,-0.1
333,-0.2
334,-0.3
335,-0.3
336,0
337,0.2
338,0.1
339,0.2
340,0.4
341,0.5
342,0.2
343,0.1
344,-0.1
345,0
346,0.2
347,0.1
348,-0.2
349,-0.3
350,-0.3
351,-0.2
352,-0.1
353,0
354,0.1
355,0.2
356,0.1
357,0.3
358,0.2
359,0
360,-0.1
361,-0.1
362,-0.6
