TS,Reading,Flag,TS2,Reading2,Flag2
1,3,5,2000,-2,5
2,1,5,2001,-2,5
3,1,5,2002,-2,5
4,0,5,2003,-2,5
5,1,5,2004,-5,5
6,1,5,2005,-5,5
7,2,5,2006,-5,5
8,4,5,2007,-5,5
9,2,5,2008,-5,5
10,1,5,2009,-3,5
11,1,5,2010,-3,5
12,1,5,2011,-3,5
13,1,5,2012,-2,5
14,2,5,2013,-2,5
15,4,5,2014,-2,5
16,4,5,2015,-2,5
17,4,5,2016,-2,5
18,2,5,2017,-2,5
19,2,5,2018,-2,5
20,2,5,2019,-2,5
21,3,5,2020,-2,5
22,3,5,2021,-1,5
23,3,5,2022,0,5
24,5,5,2023,1,5
25,3,5,2024,0,5
26,2,5,2025,-1,5
27,3,5,2026,0,5
28,5,5,2027,-2,5
29,4,5,2028,-2,5
30,4,5,2029,-1,5
31,3,5,2030,1,5
32,2,5,2031,2,5
33,0,5,2032,1,5
34,0,5,2033,1,5
35,2,5,2034,0,5
36,1,5,2035,2,5
37,3,5,2036,1,5
38,7,5,2037,-1,5
39,10,5,2038,-3,5
40,11,5,2039,-5,5
41,10,5,2040,-6,5
42,5,5,2041,-4,5
43,2,5,2042,-3,5
44,0,5,2043,-1,5
45,-1,5,2044,2,5
46,-1,5,2045,4,5
47,3,5,2046,2,5
48,6,5,2047,1,5
49,7,5,2048,-1,5
50,5,5,2049,-1,5
51,1,5,2050,-2,5
52,-2,5,2051,-4,5
53,-1,5,2052,-4,5
54,1,5,2053,0,5
55,1,5,2054,2,5
56,1,5,2055,3,5
57,3,5,2056,3,5
58,6,5,2057,0,5
59,4,5,2058,-2,5
60,3,5,2059,-2,5
61,3,5,2060,-3,5
62,3,5,2061,-3,5
63,4,5,2062,-3,5
64,4,5,2063,-3,5
65,3,5,2064,-2,5
66,2,5,2065,-1,5
67,1,5,2066,-2,5
68,1,5,2067,-2,5
69,0,5,2068,-3,5
70,0,5,2069,-5,5
71,1,5,2070,-4,5
72,1,5,2071,-2,5
73,2,5,2072,-1,5
74,4,5,2073,-1,5
75,3,5,2074,0,5
76,1,5,2075,0,5
77,0,5,2076,2,5
78,-3,5,2077,1,5
79,-3,5,2078,0,5
80,-4,5,2079,0,5
81,-4,5,2080,0,5
82,-4,5,2081,1,5
83,-5,5,2082,1,5
84,-4,5,2083,0,5
85,-5,5,2084,-2,5
86,-6,5,2085,-3,5
87,-6,5,2086,-1,5
88,-8,5,2087,-3,5
89,-9,5,2088,-3,5
90,-9,5,2089,-2,5
91,-7,5,2090,0,5
92,-3,5,2091,0,5
93,2,5,2092,0,5
94,3,5,2093,0,5
95,0,5,2094,-1,5
96,0,5,2095,-1,5
97,3,5,2096,-3,5
98,6,5,2097,-4,5
99,7,5,2098,-6,5
100,5,5,2099,-7,5
101,5,5,2100,-7,5
102,6,5,2101,-7,5
103,5,5,2102,-7,5
104,6,5,2103,-7,5
105,5,5,2104,-7,5
106,5,5,2105,-8,5
107,4,5,2106,-8,5
108,5,5,2107,-10,5
109,6,5,2108,-12,5
110,6,5,2109,-12,5
111,8,5,2110,-11,5
112,7,5,2111,-10,5
113,6,5,2112,-10,5
114,8,5,2113,-9,5
115,9,5,2114,-7,5
116,11,5,2115,-10,5
117,12,5,2116,-12,5
118,11,5,2117,-10,5
119,12,5,2118,-9,5
120,11,5,2119,-8,5
121,11,5,2120,-7,5
122,10,5,2121,-4,5
123,10,5,2122,-3,5
124,10,5,2123,-4,5
125,10,5,2124,-5,5
126,9,5,2125,-4,5
127,7,5,2126,-1,5
128,7,5,2127,3,5
129,6,5,2128,7,5
130,5,5,2129,10,5
131,4,5,2130,9,5
132,4,5,2131,4,5
133,5,5,2132,2,5
134,5,5,2133,0,5
135,7,5,2134,-2,5
136,9,5,2135,-2,5
137,11,5,2136,-2,5
138,14,5,2137,-2,5
139,14,5,2138,-2,5
140,14,5,2139,1,5
141,12,5,2140,3,5
142,12,5,2141,5,5
143,11,5,2142,5,5
144,6,5,2143,5,5
145,7,5,2144,3,5
146,5,5,2145,4,5
147,-3,5,2146,4,5
148,-10,5,2147,3,5
149,-17,5,2148,3,5
150,-17,5,2149,4,5
151,-17,5,2150,5,5
152,-17,5,2151,5,5
153,-17,5,2152,2,5
154,-5,5,2153,1,5
155,5,5,2154,1,5
156,10,5,2155,2,5
157,8,5,2156,1,5
158,-2,5,2157,2,5
159,0,5,2158,2,5
160,11,5,2159,2,5
161,14,5,2160,3,5
162,14,5,2161,4,5
163,14,5,2162,2,5
164,14,5,2163,1,5
165,14,5,2164,0,5
166,14,5,2165,0,5
167,12,5,2166,3,5
168,12,5,2167,3,5
169,13,5,2168,2,5
170,12,5,2169,2,5
171,10,5,2170,1,5
172,9,5,2171,0,5
173,9,5,2172,2,5
174,8,5,2173,4,5
175,9,5,2174,5,5
176,7,5,2175,3,5
177,2,5,2176,1,5
178,-1,5,2177,-3,5
179,-1,5,2178,-8,5
180,-1,5,2179,-12,5
181,0,5,2180,-17,5
182,0,5,2181,-17,5
183,1,5,2182,-17,5
184,1,5,2183,-17,5
185,2,5,2184,-16,5
186,3,5,2185,-8,5
187,5,5,2186,2,5
188,5,5,2187,10,5
189,5,5,2188,14,5
190,5,5,2189,10,5
191,3,5,2190,9,5
192,2,5,2191,14,5
193,1,5,2192,14,5
194,-1,5,2193,14,5
195,-2,5,2194,14,5
196,0,5,2195,14,5
197,-1,5,2196,14,5
198,1,5,2197,14,5
199,-1,5,2198,14,5
200,1,5,2199,13,5
201,0,5,2200,9,5
202,0,5,2201,5,5
203,1,5,2202,3,5
204,1,5,2203,2,5
