TS,Reading
1,2
2,1.5
3,1.3
4,1.2
5,1.5
6,1.3
7,1.3
8,1.3
9,1.2
10,1.5
11,1.8
12,2.1
13,2
14,1.4
15,1.1
16,1.3
17,1.7
18,1.9
19,1.6
20,1.3
21,1.5
22,1.5
23,1.6
24,1.9
25,1.8
26,1.7
27,1.5
28,1
29,0.8
30,1
31,1.1
32,1.5
33,1.9
34,1.7
35,1.3
36,1.1
37,1.4
38,1.6
39,1.5
40,1.8
41,2.4
42,2.6
43,2.8
44,2.2
45,2
46,2
47,1.6
48,1
49,0.8
50,0.9
51,1.2
52,1.2
53,1
54,1.4
55,1.6
56,1.5
57,1.5
58,1.1
59,0.6
60,0.7
61,0.5
62,0.1
63,0
64,0.4
65,0.4
66,0.4
67,0.2
68,-0.2
69,-0.4
70,-0.4
71,0
72,0.3
73,0.1
74,0.1
75,0.4
76,0.8
77,0.5
78,0.3
79,0.4
80,0.6
81,0.8
82,1.1
83,1.5
84,1.4
85,1.4
86,1.1
87,1.1
88,1.1
89,1.3
90,1.5
91,1.6
92,1.6
93,1.5
94,1.9
95,2.1
96,1.8
97,1.9
98,1.8
99,1.9
100,2.3
101,2.1
102,1.9
103,2.1
104,2.2
105,2.2
106,2.2
107,2.3
108,2
109,1.8
110,1.7
111,1.8
112,2
113,2.2
114,2
115,1.8
116,1.8
117,2
118,2.3
119,2.8
120,2.9
121,2.5
122,2.1
123,2
124,1.5
125,0.6
126,-0.7
127,-0.7
128,-1.2
129,-2.9
130,-4.4
131,-6.6
132,-9
133,-10.7
134,-12.2
135,-13.6
136,-14.3
137,-14.4
138,-14.4
139,-13.8
140,-11.7
141,-9.5
142,-7.8
143,-6.7
144,-5.8
145,-4.5
146,-3
147,-2.1
148,-1.7
149,-1.6
150,-1.2
151,-0.7
152,-0.2
153,-0.1
154,0.3
155,1.1
156,1.1
157,1.3
158,1.4
159,1.4
160,1.4
161,1.2
162,1.6
163,1.9
164,1.9
165,1.4
166,1.7
167,1.9
168,1.8
169,1.5
170,1.6
171,1.8
172,2.3
173,2.7
174,2.5
175,2
176,1.5
177,1.8
178,2.1
179,2.4
180,2.4
181,2.2
182,2.1
183,2.2
184,2
185,1.9
186,2.2
187,2.4
188,2.1
189,2
190,1.9
191,1.7
192,1.4
193,1.4
194,1.4
195,1.6
196,1.9
197,2.3
198,2
199,1.8
200,1.9
201,1.8
202,2.2
203,2.3
204,1.9
205,1.7
206,1.8
207,1.6
208,1.3
209,1.4
210,1.7
211,1.6
212,1.5
213,1.5
214,2
215,1.8
216,1.2
217,1.1
218,1.1
219,1.1
220,1.1
221,1.1
222,1.2
223,1.4
224,1.4
225,1.2
226,1.1
227,1.3
228,0.9
229,0.7
230,0.5
231,0.5
232,0.6
233,0.6
234,0.9
235,1.2
236,0.5
237,0
238,0.2
239,0.7
240,0.8
241,0.5
242,0.4
243,0.1
244,-0.1
245,-0.1
246,0
247,0
248,-0.4
249,-1.2
250,-1.5
251,-1.6
252,-1.1
253,-1.2
254,-1.4
255,-1.5
256,-1.6
257,-1.7
258,-1.6
259,-1.4
260,-1.3
261,-1.2
262,-1.4
263,-2
264,-1.9
265,-1.7
266,-2.2
267,-2.4
268,-2.4
269,-2.3
270,-2.2
271,-2.2
272,-2.1
273,-2.3
274,-2.3
275,-2.5
276,-2.5
277,-2.7
278,-2.5
279,-2.3
280,-2.5
281,-2.8
282,-2.8
283,-2.5
284,-2.4
285,-2.4
286,-2.3
287,-1.6
288,-1.5
289,-1.7
290,-1.8
291,-1.7
292,-1.5
293,-1.4
294,-1.3
295,-1.4
296,-1.4
297,-1
298,-0.5
299,-0.4
300,-0.7
301,-0.9
302,-0.7
303,-0.7
304,-0.8
305,-0.4
306,0.1
307,0.1
308,0.1
309,0.2
310,0
311,-0.1
312,0.2
313,0.6
314,0.7
315,1
316,0.9
317,0.5
318,0.8
319,1.3
320,1.4
321,1.1
322,1.3
323,1.2
324,1.2
325,0.8
326,-0.2
327,-0.3
328,0.3
329,1.1
330,1.1
331,1.2
332,1.1
333,1.1
334,1.2
335,1.2
336,0.8
337,0.6
338,0.7
339,0.5
340,0.4
341,0.5
342,0.8
343,0.9
344,1.1
345,1.1
346,1.1
347,0.8
348,1
349,1.3
350,1.2
351,1.3
352,1.2
353,1.1
354,0.7
355,0.6
356,0.7
357,0.6
358,0.4
359,0.7
360,1
361,1.1
362,1.5
363,1.4
364,1.5
365,1.4
366,1.3
367,1.1
368,0.7
369,0.9
370,1
