TS,Reading,Flag,TS2,Reading2,Flag2
1,13,5,2000,15,5
2,14,5,2001,15,5
3,14,5,2002,13,5
4,15,5,2003,16,5
5,16,5,2004,19,5
6,16,5,2005,19,5
7,14,5,2006,19,5
8,11,5,2007,19,5
9,11,5,2008,19,5
10,13,5,2009,19,5
11,12,5,2010,17,5
12,12,5,2011,15,5
13,13,5,2012,15,5
14,13,5,2013,15,5
15,13,5,2014,16,5
16,13,5,2015,15,5
17,15,5,2016,14,5
18,17,5,2017,14,5
19,17,5,2018,14,5
20,16,5,2019,15,5
21,15,5,2020,16,5
22,15,5,2021,13,5
23,13,5,2022,12,5
24,8,5,2023,12,5
25,8,5,2024,13,5
26,12,5,2025,14,5
27,12,5,2026,12,5
28,11,5,2027,12,5
29,12,5,2028,12,5
30,11,5,2029,9,5
31,12,5,2030,6,5
32,12,5,2031,7,5
33,16,5,2032,12,5
34,18,5,2033,16,5
35,15,5,2034,17,5
36,15,5,2035,14,5
37,14,5,2036,13,5
38,10,5,2037,14,5
39,6,5,2038,16,5
40,4,5,2039,19,5
41,4,5,2040,18,5
42,8,5,2041,17,5
43,11,5,2042,17,5
44,12,5,2043,14,5
45,13,5,2044,11,5
46,14,5,2045,8,5
47,14,5,2046,10,5
48,12,5,2047,13,5
49,11,5,2048,16,5
50,13,5,2049,17,5
51,15,5,2050,17,5
52,15,5,2051,18,5
53,12,5,2052,18,5
54,11,5,2053,15,5
55,11,5,2054,13,5
56,11,5,2055,13,5
57,9,5,2056,15,5
58,9,5,2057,17,5
59,12,5,2058,18,5
60,14,5,2059,17,5
61,12,5,2060,15,5
62,11,5,2061,16,5
63,7,5,2062,18,5
64,5,5,2063,18,5
65,6,5,2064,16,5
66,6,5,2065,16,5
67,6,5,2066,16,5
68,1,5,2067,16,5
69,0,5,2068,17,5
70,1,5,2069,19,5
71,1,5,2070,17,5
72,1,5,2071,13,5
73,-1,5,2072,13,5
74,-5,5,2073,13,5
75,-6,5,2074,15,5
76,-4,5,2075,14,5
77,-3,5,2076,11,5
78,-1,5,2077,10,5
79,-2,5,2078,11,5
80,-4,5,2079,12,5
81,-4,5,2080,11,5
82,-1,5,2081,11,5
83,0,5,2082,11,5
84,-1,5,2083,12,5
85,0,5,2084,14,5
86,1,5,2085,16,5
87,1,5,2086,14,5
88,1,5,2087,15,5
89,0,5,2088,18,5
90,-1,5,2089,16,5
91,-2,5,2090,14,5
92,-5,5,2091,13,5
93,-7,5,2092,14,5
94,-6,5,2093,13,5
95,-3,5,2094,11,5
96,-1,5,2095,11,5
97,-2,5,2096,10,5
98,-3,5,2097,9,5
99,-4,5,2098,11,5
100,-2,5,2099,12,5
101,0,5,2100,11,5
102,2,5,2101,11,5
103,2,5,2102,11,5
104,3,5,2103,11,5
105,3,5,2104,11,5
106,5,5,2105,10,5
107,7,5,2106,8,5
108,8,5,2107,9,5
109,8,5,2108,9,5
110,9,5,2109,8,5
111,8,5,2110,5,5
112,12,5,2111,4,5
113,16,5,2112,4,5
114,16,5,2113,1,5
115,15,5,2114,-1,5
116,14,5,2115,1,5
117,12,5,2116,3,5
118,10,5,2117,0,5
119,9,5,2118,-1,5
120,9,5,2119,-2,5
121,9,5,2120,-3,5
122,10,5,2121,-4,5
123,10,5,2122,-3,5
124,9,5,2123,-1,5
125,9,5,2124,2,5
126,12,5,2125,1,5
127,13,5,2126,-1,5
128,14,5,2127,-5,5
129,15,5,2128,-8,5
130,16,5,2129,-8,5
131,17,5,2130,-6,5
132,18,5,2131,1,5
133,17,5,2132,5,5
134,17,5,2133,7,5
135,17,5,2134,9,5
136,15,5,2135,10,5
137,14,5,2136,11,5
138,12,5,2137,14,5
139,11,5,2138,15,5
140,13,5,2139,15,5
141,15,5,2140,13,5
142,10,5,2141,11,5
143,6,5,2142,11,5
144,2,5,2143,12,5
145,-5,5,2144,16,5
146,-16,5,2145,16,5
147,-24,5,2146,14,5
148,-34,5,2147,15,5
149,-47,5,2148,15,5
150,-61,5,2149,16,5
151,-68,5,2150,14,5
152,-68,5,2151,13,5
153,-68,5,2152,16,5
154,-68,5,2153,17,5
155,-68,5,2154,17,5
156,-68,5,2155,20,5
157,-68,5,2156,20,5
158,-68,5,2157,20,5
159,-68,5,2158,20,5
160,-51,5,2159,19,5
161,-32,5,2160,17,5
162,-14,5,2161,15,5
163,0,5,2162,16,5
164,9,5,2163,19,5
165,13,5,2164,20,5
166,14,5,2165,20,5
167,15,5,2166,15,5
168,14,5,2167,12,5
169,13,5,2168,14,5
170,13,5,2169,15,5
171,14,5,2170,16,5
172,13,5,2171,17,5
173,12,5,2172,15,5
174,10,5,2173,13,5
175,7,5,2174,8,5
176,9,5,2175,3,5
177,17,5,2176,-2,5
178,20,5,2177,-7,5
179,20,5,2178,-14,5
180,20,5,2179,-24,5
181,18,5,2180,-36,5
182,17,5,2181,-55,5
183,16,5,2182,-68,5
184,16,5,2183,-68,5
185,17,5,2184,-68,5
186,15,5,2185,-68,5
187,11,5,2186,-68,5
