TS,I,If,II,IIf,III,IIIf,aVR,aVRf,aVL,aVLf,aVF,aVFf,V1,V1f,V2,V2f,V3,V3f,V4,V4f,V5,V5f,V6,V6f
1,-26,1,-17,1,9,1,21,1,-18,1,-4,1,2,1,23,1,-13,1,-53,1,-22,1,-29,1
2,-26,1,-17,1,9,1,21,1,-18,1,-4,1,3,1,26,1,-13,1,-53,1,-22,1,-28,1
3,-26,1,-16,1,10,1,21,1,-18,1,-3,1,3,1,21,1,-16,1,-55,1,-24,1,-29,1
4,-25,1,-15,1,10,1,20,1,-18,1,-3,1,3,1,16,1,-17,1,-56,1,-25,1,-32,1
5,-25,1,-17,1,8,1,21,1,-17,1,-5,1,3,1,11,1,-22,1,-55,1,-26,1,-32,1
6,-25,1,-19,1,6,1,22,1,-16,1,-7,1,3,1,27,1,-20,1,-53,1,-24,1,-31,1
7,-26,1,-20,1,6,1,23,1,-16,1,-7,1,3,1,31,1,-21,1,-52,1,-24,1,-30,1
8,-26,1,-20,1,6,1,23,1,-16,1,-7,1,2,1,26,1,-22,1,-53,1,-25,1,-31,1
9,-27,1,-18,1,9,1,22,1,-18,1,-5,1,1,1,21,1,-20,1,-54,1,-25,1,-33,1
10,-26,1,-17,1,9,1,21,1,-18,1,-4,1,2,1,11,1,-21,1,-54,1,-26,1,-33,1
11,-25,1,-15,1,10,1,20,1,-18,1,-3,1,2,1,24,1,-16,1,-53,1,-23,1,-31,1
12,-25,1,-15,1,10,1,20,1,-18,1,-3,1,3,1,27,1,-15,1,-52,1,-21,1,-30,1
13,-23,1,-14,1,9,1,18,1,-16,1,-3,1,2,1,21,1,-17,1,-52,1,-22,1,-29,1
14,-20,1,-12,1,8,1,16,1,-14,1,-2,1,2,1,19,1,-16,1,-53,1,-22,1,-31,1
15,-18,1,-14,1,4,1,16,1,-11,1,-5,1,2,1,16,1,-19,1,-52,1,-22,1,-31,1
16,-18,1,-13,1,5,1,15,1,-12,1,-4,1,2,1,31,1,-18,1,-50,1,-19,1,-29,1
17,-18,1,-13,1,5,1,15,1,-12,1,-4,1,3,1,35,1,-19,1,-48,1,-19,1,-28,1
18,-19,1,-12,1,7,1,15,1,-13,1,-3,1,4,1,29,1,-20,1,-48,1,-19,1,-27,1
19,-21,1,-10,1,11,1,15,1,-16,1,0,1,3,1,24,1,-17,1,-50,1,-20,1,-29,1
20,-21,1,-8,1,13,1,14,1,-17,1,2,1,2,1,15,1,-18,1,-50,1,-20,1,-30,1
21,-21,1,-6,1,15,1,13,1,-18,1,4,1,1,1,27,1,-13,1,-48,1,-18,1,-27,1
22,-22,1,-3,1,19,1,12,1,-21,1,8,1,1,1,30,1,-12,1,-47,1,-17,1,-25,1
23,-21,1,-2,1,19,1,11,1,-20,1,8,1,0,1,24,1,-12,1,-46,1,-17,1,-25,1
24,-20,1,-2,1,18,1,11,1,-19,1,8,1,0,1,19,1,-12,1,-47,1,-18,1,-27,1
25,-19,1,-4,1,15,1,11,1,-17,1,5,1,0,1,13,1,-17,1,-48,1,-18,1,-29,1
26,-19,1,-6,1,13,1,12,1,-16,1,3,1,0,1,27,1,-17,1,-47,1,-16,1,-28,1
27,-20,1,-8,1,12,1,14,1,-16,1,2,1,1,1,31,1,-19,1,-46,1,-16,1,-27,1
28,-20,1,-8,1,12,1,14,1,-16,1,2,1,1,1,26,1,-21,1,-46,1,-17,1,-28,1
29,-21,1,-7,1,14,1,14,1,-18,1,3,1,1,1,22,1,-19,1,-47,1,-19,1,-30,1
30,-20,1,-8,1,12,1,14,1,-16,1,2,1,1,1,13,1,-20,1,-48,1,-19,1,-31,1
31,-19,1,-8,1,11,1,13,1,-15,1,1,1,1,1,26,1,-15,1,-47,1,-18,1,-29,1
32,-19,1,-9,1,10,1,14,1,-15,1,0,1,1,1,28,1,-14,1,-47,1,-18,1,-29,1
33,-18,1,-10,1,8,1,14,1,-13,1,-1,1,1,1,23,1,-15,1,-48,1,-19,1,-30,1
34,-18,1,-10,1,8,1,14,1,-13,1,-1,1,0,1,17,1,-17,1,-49,1,-21,1,-32,1
35,-18,1,-13,1,5,1,15,1,-12,1,-4,1,1,1,10,1,-21,1,-49,1,-21,1,-32,1
36,-17,1,-15,1,2,1,16,1,-10,1,-7,1,1,1,25,1,-20,1,-49,1,-19,1,-30,1
37,-19,1,-15,1,4,1,17,1,-12,1,-6,1,1,1,28,1,-22,1,-48,1,-19,1,-30,1
38,-20,1,-15,1,5,1,17,1,-13,1,-5,1,1,1,20,1,-26,1,-50,1,-20,1,-32,1
39,-22,1,-15,1,7,1,18,1,-15,1,-4,1,0,1,15,1,-25,1,-52,1,-23,1,-36,1
40,-23,1,-17,1,6,1,20,1,-15,1,-6,1,1,1,8,1,-27,1,-55,1,-24,1,-38,1
41,-23,1,-18,1,5,1,20,1,-14,1,-7,1,2,1,20,1,-24,1,-54,1,-23,1,-37,1
42,-24,1,-20,1,4,1,22,1,-14,1,-8,1,2,1,20,1,-25,1,-54,1,-24,1,-37,1
43,-24,1,-21,1,3,1,22,1,-14,1,-9,1,3,1,15,1,-27,1,-54,1,-26,1,-37,1
44,-24,1,-20,1,4,1,22,1,-14,1,-8,1,3,1,10,1,-27,1,-55,1,-28,1,-39,1
45,-25,1,-22,1,3,1,23,1,-14,1,-10,1,4,1,5,1,-30,1,-55,1,-29,1,-40,1
46,-25,1,-23,1,2,1,24,1,-14,1,-11,1,4,1,19,1,-27,1,-54,1,-26,1,-38,1
47,-27,1,-23,1,4,1,25,1,-16,1,-10,1,5,1,24,1,-28,1,-53,1,-27,1,-38,1
48,-27,1,-24,1,3,1,25,1,-15,1,-11,1,5,1,18,1,-31,1,-54,1,-28,1,-41,1
49,-28,1,-23,1,5,1,25,1,-17,1,-9,1,5,1,13,1,-30,1,-56,1,-30,1,-45,1
50,-28,1,-24,1,4,1,26,1,-16,1,-10,1,4,1,1,1,-33,1,-57,1,-32,1,-47,1
51,-27,1,-24,1,3,1,25,1,-15,1,-11,1,4,1,3,1,-33,1,-57,1,-31,1,-46,1
52,-28,1,-25,1,3,1,26,1,-16,1,-11,1,5,1,-7,1,-35,1,-58,1,-34,1,-46,1
53,-28,1,-27,1,1,1,27,1,-15,1,-13,1,5,1,-25,1,-39,1,-59,1,-36,1,-47,1
54,-28,1,-26,1,2,1,27,1,-15,1,-12,1,4,1,-42,1,-42,1,-62,1,-40,1,-52,1
55,-28,1,-28,1,0,1,28,1,-14,1,-14,1,4,1,-60,1,-47,1,-61,1,-41,1,-54,1
56,-27,1,-28,1,-1,1,27,1,-13,1,-15,1,4,1,-56,1,-46,1,-61,1,-40,1,-54,1
57,-29,1,-28,1,1,1,28,1,-15,1,-14,1,6,1,-60,1,-48,1,-60,1,-41,1,-54,1
58,-29,1,-28,1,1,1,28,1,-15,1,-14,1,7,1,-74,1,-50,1,-61,1,-42,1,-57,1
59,-30,1,-27,1,3,1,28,1,-17,1,-12,1,7,1,-85,1,-49,1,-63,1,-45,1,-61,1
60,-30,1,-28,1,2,1,29,1,-16,1,-13,1,6,1,-99,1,-51,1,-63,1,-45,1,-64,1
61,-29,1,-28,1,1,1,28,1,-15,1,-14,1,6,1,-91,1,-47,1,-63,1,-43,1,-64,1
62,-30,1,-28,1,2,1,29,1,-16,1,-13,1,6,1,-94,1,-47,1,-63,1,-44,1,-64,1
63,-29,1,-27,1,2,1,28,1,-16,1,-13,1,6,1,-103,1,-48,1,-64,1,-45,1,-64,1
64,-28,1,-27,1,1,1,27,1,-15,1,-13,1,6,1,-112,1,-48,1,-64,1,-47,1,-67,1
65,-28,1,-29,1,-1,1,28,1,-14,1,-15,1,7,1,-121,1,-51,1,-63,1,-47,1,-67,1
66,-28,1,-30,1,-2,1,29,1,-13,1,-16,1,7,1,-110,1,-47,1,-62,1,-44,1,-66,1
67,-30,1,-31,1,-1,1,30,1,-15,1,-16,1,7,1,-108,1,-48,1,-61,1,-45,1,-65,1
68,-30,1,-31,1,-1,1,30,1,-15,1,-16,1,7,1,-114,1,-49,1,-61,1,-45,1,-67,1
69,-32,1,-31,1,1,1,31,1,-17,1,-15,1,7,1,-120,1,-47,1,-62,1,-46,1,-70,1
70,-31,1,-31,1,0,1,31,1,-16,1,-16,1,7,1,-130,1,-50,1,-62,1,-47,1,-72,1
71,-31,1,-30,1,1,1,30,1,-16,1,-15,1,7,1,-119,1,-45,1,-61,1,-44,1,-70,1
72,-30,1,-30,1,0,1,30,1,-15,1,-15,1,7,1,-118,1,-45,1,-61,1,-45,1,-70,1
73,-29,1,-29,1,0,1,29,1,-15,1,-15,1,7,1,-122,1,-45,1,-61,1,-45,1,-70,1
74,-29,1,-27,1,2,1,28,1,-16,1,-13,1,7,1,-129,1,-44,1,-62,1,-45,1,-72,1
75,-29,1,-29,1,0,1,29,1,-15,1,-15,1,7,1,-135,1,-47,1,-60,1,-45,1,-70,1
76,-29,1,-31,1,-2,1,30,1,-14,1,-17,1,7,1,-120,1,-43,1,-59,1,-42,1,-68,1
77,-30,1,-31,1,-1,1,30,1,-15,1,-16,1,7,1,-118,1,-44,1,-57,1,-42,1,-67,1
78,-31,1,-31,1,0,1,31,1,-16,1,-16,1,7,1,-123,1,-45,1,-57,1,-42,1,-68,1
79,-33,1,-30,1,3,1,31,1,-18,1,-14,1,7,1,-134,1,-46,1,-58,1,-45,1,-71,1
80,-33,1,-30,1,3,1,31,1,-18,1,-14,1,7,1,-140,1,-47,1,-57,1,-45,1,-72,1
81,-32,1,-30,1,2,1,31,1,-17,1,-14,1,7,1,-126,1,-42,1,-57,1,-44,1,-70,1
82,-31,1,-30,1,1,1,30,1,-16,1,-15,1,7,1,-124,1,-42,1,-56,1,-44,1,-70,1
83,-30,1,-29,1,1,1,29,1,-16,1,-14,1,7,1,-127,1,-41,1,-55,1,-45,1,-70,1
84,-27,1,-26,1,1,1,26,1,-14,1,-13,1,7,1,-129,1,-38,1,-53,1,-46,1,-70,1
85,-24,1,-27,1,-3,1,25,1,-11,1,-15,1,7,1,-131,1,-37,1,-50,1,-44,1,-68,1
86,-21,1,-27,1,-6,1,24,1,-8,1,-17,1,7,1,-111,1,-27,1,-44,1,-41,1,-64,1
87,-19,1,-26,1,-7,1,22,1,-6,1,-17,1,12,1,-97,1,-18,1,-34,1,-39,1,-59,1
88,-17,1,-24,1,-7,1,20,1,-5,1,-16,1,18,1,-87,1,-3,1,-21,1,-36,1,-55,1
89,-14,1,-19,1,-5,1,16,1,-5,1,-12,1,25,1,-72,1,17,1,-6,1,-31,1,-49,1
90,-8,1,-14,1,-6,1,11,1,-1,1,-10,1,33,1,-59,1,40,1,16,1,-21,1,-35,1
91,1,1,-4,1,-5,1,1,1,3,1,-4,1,39,1,-27,1,71,1,43,1,-2,1,-10,1
92,14,1,10,1,-4,1,-12,1,9,1,3,1,39,1,-9,1,97,1,74,1,26,1,24,1
93,32,1,28,1,-4,1,-30,1,18,1,12,1,36,1,2,1,123,1,108,1,62,1,68,1
94,50,1,48,1,-2,1,-49,1,26,1,23,1,32,1,10,1,149,1,142,1,103,1,115,1
95,69,1,66,1,-3,1,-67,1,36,1,32,1,25,1,13,1,165,1,174,1,148,1,165,1
96,88,1,85,1,-3,1,-86,1,46,1,41,1,14,1,28,1,180,1,201,1,197,1,215,1
97,103,1,109,1,6,1,-106,1,49,1,58,1,-4,1,21,1,179,1,219,1,245,1,262,1
98,114,1,130,1,16,1,-122,1,49,1,73,1,-32,1,-8,1,161,1,222,1,285,1,296,1
99,119,1,147,1,28,1,-133,1,46,1,88,1,-64,1,-55,1,129,1,209,1,311,1,313,1
